0,0,0,0,0,0,0,0,1,0,0,0,,78188.4999999,12528.8,56.0,56.0,500,500,2069.8,500,500,500,500,500,56.0,56.0,500,500,500,500,56.0,500,500,500,500,500,500,500,500,500,500,500,56
1,0,0,0,0,0,0,0,0,0,0,0,399000,118825.8,91887.9,91819.9,91819.9,39623.38,38012.4,6902064.05001,500,500,500,500,500,404754.469999,71420.3,37614.2,500,500,500,91819.9,500,500,500,500,500,500,500,500,500,500,500,37614.2
0,0,0,0,0,0,0,0,0,0,1,0,1410000,355323.57,121339.75,118825.8,113861.7,113716.77,109044.3,6902064.05001,777275.42,521621.02,133527.92,78550.68,500,404754.469999,216855.7,54205.7,500,500,500,91819.9,500,500,500,500,500,500,500,500,500,500,500,54205.7
0,1,0,0,0,0,0,0,0,0,0,0,1230000,707417.28,100344.49,98487.8400002,22971.8,20000.8,500,600656.200001,225370.6,500,500,500,500,219060.2,58878.92,20000.8,500,500,500,86889.54,500,500,500,500,500,500,500,500,500,500,500,20000.8
0,0,0,0,0,0,0,0,1,0,0,0,628000,177.0,177.0,500,500,500,500,812126.300001,729867.729999,500,500,500,500,177.0,177.0,177.0,177.0,177.0,177.0,3876.65,500,500,500,500,500,500,500,500,500,500,500,177
0,0,0,0,0,0,0,0,0,0,1,0,9700000,169082.26,101801.84,88098.14,73064.7399999,27485.34,23784.94,6902064.05001,500,500,500,500,500,404754.469999,13688.44,500,500,500,500,81728.4399999,500,500,500,500,500,500,500,500,500,500,500,13688.44
1,0,0,0,0,0,0,0,0,0,0,0,2350000,191433.930001,5429.32,4866.6,2778.18,1526.6,1325.2,500,500,500,500,500,500,3781.40000001,3652.29999999,1439.6,1379.9,500,500,1325.2,500,500,500,500,500,500,500,500,500,500,500,1325.2
1,0,0,0,0,0,0,0,0,0,0,0,318000,191433.930001,50265.1000001,15414.8,14886.5,2594.71,1210.54,220997.52,49458.6500001,54.7,500,500,500,3436.6,1379.9,54.7,54.7,500,500,316.899999999,101.1,500,500,500,500,500,500,500,500,500,500,54.7
0,0,0,1,0,0,0,0,0,0,0,0,12300,21553.1,19632.1400001,651.699999999,102.01,89.8,89.8,46491.9,500,500,500,500,500,15616.7,338.7,89.8,89.8,89.8,89.8,4473.73,89.8,89.8,500,500,500,500,500,500,500,500,500,89.8
0,0,0,0,0,0,0,0,0,0,1,0,235000,31072.3,174.5,174.5,174.5,174.5,174.5,6902064.05001,500,500,500,500,500,3673.68,500,500,500,500,500,174.5,174.5,500,500,500,500,500,500,500,500,500,500,174.5
0,0,0,0,0,0,0,0,1,0,0,0,1020000,48946.93,11024.53,10911.88,521.43,244.23,244.23,1663402.15,500,500,500,500,500,4607.03,244.23,244.23,244.23,244.23,500,244.23,500,500,500,500,500,500,500,500,500,500,500,244.23
0,0,0,0,0,0,0,0,0,0,0,1,2020000,165949.49,47814.08,593.4,501.5,137.0,49.2,49.2,49.2,500,500,500,500,49.2,49.2,49.2,500,500,500,59.1,500,500,500,500,500,500,500,500,500,500,500,49.2
0,0,0,0,0,0,0,0,0,1,0,0,223000,126922.95,114313.5,29135.04,3866.1,500,500,235336.33,76277.65,500,500,500,500,162811.93,109325.4,33492.96,22049.7,500,500,2260.0,500,500,500,500,500,500,500,500,500,500,500,2260
