栀子花开,5550000
我们接吻吧,72200
大内密探灵灵狗,1230000
美国队长2：冬日战士,549000
热情奏鸣曲,139000
甜心巧克力,528000
孩子王,5410000
夺命旅行,876000
天降,30700000
神秘代码,913000
挑战者联盟,1310000
白狐,4980000
美男记,231000
幻体：续命游戏,1210000
特殊身份,5190000
小蚂蚁之环球大冒险,541000
记忆碎片,3960000
脱轨时代,688000
牛老汉的幸福生活,5110
一夜成名,5040000
声梦奇缘,109000
神剑传奇,65800
图兰朵,1540000
牧笛,1720000
花好月圆,14200000
宝贝当家,1100000
七月半之恐怖宿舍,212000
逃出生天3D,732000
向日葵,41900000
恶灵之门,397000
南口1937,341000
绝命逃亡,870000
爱情进化论,242000
霍比特人：史矛革之战,474000
犹太女孩在上海2：项链密码,59900
妈咪侠,201000
火海逃生,645000
无法证明,3220000
同城邂逅,884000
刺夜,152000
诡娃娃,290000
喋血神兵,12800
小猪班纳大电影之梦想大“帽”险,20700
致命请柬,156000
飞天鱼,203000
李献计历险记,482000
求爱嫁期,190000
大顺&middot;一九二七,1460
潜水艇,10200000
双胞胎,74600000
大片,92000000
像小强一样活着,212000
让我们西米吧,7660
寻找成龙,264000
碟仙诡谭,252000
地心引力,2670000
大寒桃花开,231000
黄金福将,301000
暴走吧，女人,1590000
绿茶,69800000
一路有你,3180000
神奇侠侣,833000
阳光灿烂的日子,3870000
滚拉拉的枪,49000
迷魂陷阱,240000
猛龙特囧,417000
铁线虫入侵,677000
别开门,587000
笛声何处,138000
情癫大圣,565000
圣斗士星矢：圣域传说,322000
黄石的孩子,232000
诡八楼,225000
81号农场之疯狂的麦咭,47200
双喜临门,5170000
锁里,3990000
忍者神龟：变种时代,908000
夜魔人,2060000
三个孬家伙,503000
“杏”福来敲门,284000
白蛇传（戏曲）,1770000
秋语,2550000
满汉全席,5580000
哆啦A梦：新·大雄的日本诞生,1290000
校花诡异事件,400000
朱大琴，请与本台联系,1510
万有引力,12800000
金色时光,930000
舌尖上的新年,1150000
十万个冷笑话,2490000
金牌流浪狗,651000
游龙戏凤,1280000
风暴突击者,98500
为爱放手,461000
平原游击队,605000
追踪长尾豹马修,138000
我童年的天空,6270000
第十九届上海国际电影节,152000
雨果,15200000
四大名捕,7090000
长江图,2600000
阳光留守,1760000
早见，晚爱,282000
滚蛋吧！肿瘤君,1560000
我们这一家,1200000
恶人报喜,702000
喜临门,4180000
大块头有大智慧,432000
国家利益,21100000
过界男女,415000
封神传奇,1730000
荒野猎人,1600000
哭恋,60300
目标战,184000
探灵档案,574000
我在路上最爱你,947000
我的播音系女友,848000
猪猪侠之终极决战,531000
Hello！树先生！,439000
门,100000000
