刘小锋,974000
北京其欣然影视文化传播有限公司,12900
延政勋,558000
Gussi Artecinema ,45200
浙江星光电影院线有限公司,114000
高宝宝,429000
李虎,2110000
Film4 ,6350000
潘辰,820000
尼尔·纳佩尔,14900
马坦娜·卡利米,1440
保罗·贝坦尼,539000
北京无限自在文化传播有限公司,747000
李岷城,1080000
PalmStar Entertainment (PalmStar Media Capital) ,1590000
魏玉海,44200
杰夫·纽威特,5980
崔文俊,11800
王啸坤,1710000
Scanbox Sweden ,2160000
20th Century Fox Animation ,5050000
Anonymous Content ,2400000
郭敬明,23100000
方清平,4140000
姚文雪,63900
谢霆锋,51200000
胡学林,41100
中国台湾和田电影有限公司,838000
徐涛,2900000
吴耀权,61900
赵津生,136000
何婷贤,17000
杨泽湖,6180
卢·戴蒙德·菲利普斯,314000
michael morhaime,48100
陈欢,1530000
东阳基业先锋影视传媒有限公司,25000
国文学,403000
张振益,19200
范雷,1000000
纳赛尔,891000
孔琳,695000
阿什丽·提斯代尔,308000
北京乐华圆娱文化传播股份有限公司,4250
广州金逸影视传媒股份有限公司,40300
Sony Pictures Home Entertainment Nordic ,4950000
恬妞,1250000
皮克斯动画工作室,321000
洛阳广海文化娱乐发展有限公司,79800
曾杰,1010000
合肥广电投资有限责任公司,467000
华语万映文化传媒（北京）有限公司,3040
戴睿,375000
华美时空影视文化传播有限公司,400000
KOCH Media Deutschland GmbH ,483000
高厂,8990000
布莱恩·伯克,138000
江涛,5970000
迈克尔·道格拉斯,1520000
金英民,432000
马恺曼,31000
刘宇锋,14200
天海无贝,146000
李妍瑾,235000
周家怡,293000
罗杰·阿什顿-格里..,57900
胡雪桦,123000
李梦晨,39000
宋洋,1650000
梅阿·温宁翰,84600
王昭,1400000
杨昆荣,9150
西部电影集团有限公司,2110000
凯西·伯克,95900
黄泰来,122000
美国世界观娱乐公司,13300000
星势力娱乐股份有限公司,12500
东出昌大,804000
王昱,1800000
陈然,1010000
北京神帆远航广告有限公司,15
郭月,1340000
福建神画时代数码动画有限公司,17600
迈克尔·布兰德纳,26100
廖学秋,390000
Canadian Film or Video Production Tax Credit (CPTC) ,7750
探照灯文化传媒（北京）有限公司,30500
拉菲·卡西迪,94300
王耀庆,1550000
崔杰,791000
彼得·卡帕尔蒂,301000
北京同人时代文化传播有限公司,513000
20th Century Fox Netherlands ,939000
杭州中赢影视传媒有限公司,29800
美国梦工厂影片公司,371000
夏天,100000000
晓寒,1140000
庞清正,1950
琼·里弗斯,90400
蒂姆·麦克纳尼,130000
中共河南省委宣传部,283000
世纪影业有限公司,32200
陈浩民,6030000
东阳腾远影视传媒有限公司,22300
汪琳,285000
小野浩介,117000
ImageMovers ,1520000
北京电视台,9810000
张涵予,10200000
david rohde,522000
郑阳,516000
于震寰,56700
