0,0,0,0,0,0,0,0,1,0,0,0,7000000,3890000.0,995000.0,351000.0,85600.0,100,78100.0,100,100,100,100,4880.0,3050.0,100,100,100,85300.0,100,100,100,100,100,100,100,100,100,56
1,0,0,0,0,0,0,0,0,0,0,0,399000,1400000.0,1300000.0,811000.0,768000.0,766000.0,133000.0,100,100,100,100,1210000.0,123000.0,76800.0,100,100,486000.0,100,100,100,100,100,100,100,100,100,37614.2
0,0,0,0,0,0,0,0,0,0,1,0,1410000,1550000.0,1400000.0,1300000.0,1160000.0,1100000.0,2160000.0,1270000.0,1210000.0,1030000.0,133000.0,1210000.0,320000.0,21300.0,100,100,486000.0,100,100,100,100,100,100,100,100,100,54205.7
0,1,0,0,0,0,0,0,0,0,0,0,1230000,47200000.0,24200000.0,8950000.0,2820000.0,334000.0,99800.0,54800.0,100,100,100,1710000.0,81700.0,16200.0,100,100,692000.0,100,100,100,100,100,100,100,100,100,20000.8
0,0,0,0,0,0,0,0,1,0,0,0,628000,460000.0,323000.0,100,100,100,1020000.0,53400.0,100,100,100,29800.0,26200.0,22200.0,11300.0,39.0,523000.0,100,100,100,100,100,100,100,100,100,177
0,0,0,0,0,0,0,0,0,0,1,0,9700000,1840000.0,1460000.0,1230000.0,877000.0,657000.0,133000.0,100,100,100,100,2610000.0,1210000.0,100,100,100,480000.0,100,100,100,100,100,100,100,100,100,13688.44
1,0,0,0,0,0,0,0,0,0,0,0,2350000,4590000.0,3050000.0,1840000.0,1200000.0,887000.0,100,100,100,100,100,747000.0,16400.0,7730.0,3480.0,100,57800.0,100,100,100,100,100,100,100,100,100,1325.2
1,0,0,0,0,0,0,0,0,0,0,0,318000,12300000.0,2480000.0,2450000.0,1840000.0,1430000.0,92500.0,63400.0,4400.0,100,100,1380000.0,244000.0,3480.0,1420.0,100,66000.0,29000.0,100,100,100,100,100,100,100,100,54.7
0,0,0,1,0,0,0,0,0,0,0,0,12300,1520000.0,1280000.0,704000.0,168000.0,59900.0,61600.0,100,100,100,100,174000.0,34600.0,5340.0,4330.0,2160.0,225000.0,91600.0,5990.0,100,100,100,100,100,100,100,89.8
0,0,0,0,0,0,0,0,0,0,1,0,235000,642000.0,618000.0,350000.0,177000.0,138000.0,133000.0,100,100,100,100,19100.0,100,100,100,100,299000.0,71100.0,100,100,100,100,100,100,100,100,174.5
0,0,0,0,0,0,0,0,1,0,0,0,1020000,12400000.0,6090000.0,597000.0,498000.0,370000.0,24500000.0,100,100,100,100,249000.0,13300.0,9510.0,53.0,49.0,19500.0,100,100,100,100,100,100,100,100,100,244.23
0,0,0,0,0,0,0,0,0,0,0,1,2020000,5990000.0,3910000.0,3100000.0,874000.0,872000.0,112000.0,48700.0,100,100,100,2770.0,1290.0,37.0,100,100,29000.0,100,100,100,100,100,100,100,100,100,49.2
0,0,0,0,0,0,0,0,0,1,0,0,223000,18500000.0,8570000.0,1280000.0,477000.0,100,31400.0,2280.0,100,100,100,1200000.0,648000.0,31400.0,9480.0,100,147000.0,100,100,100,100,100,100,100,100,100,2260
0,0,0,0,0,0,0,0,1,0,0,0,182000,5540000.0,4280000.0,3910000.0,3890000.0,2550000.0,5260.0,100,100,100,100,15100.0,14700.0,9480.0,3360.0,3040.0,381000.0,100,100,100,100,100,100,100,100,100,452.3
0,0,0,0,0,0,0,0,1,0,0,0,427000,100000000.0,73600000.0,12400000.0,7050000.0,5720000.0,100,100,100,100,100,1220000.0,100,100,100,100,6860.0,100,100,100,100,100,100,100,100,100,2089.6
0,0,0,0,1,0,0,0,0,0,0,0,500000,91300000.0,7110000.0,6460000.0,3110000.0,1960000.0,17200.0,92.0,100,100,100,6750000.0,193000.0,151000.0,17200.0,100,39100.0,24400.0,2160.0,100,100,100,100,100,100,100,42.7
