Moviename,Type,weight
冰雪奇缘,动画,0.09155176631475245
波鲁鲁冰雪大冒险,动画,0.09155176631475245
博物馆奇妙夜3,喜剧/冒险/家庭,0.6531715999740432
搏击迷城,爱情/动作,0.7373107135588461
哺乳期的女人,剧情,0.058927121511060734
不爱不散,爱情,0.24008282951345553
不二神探,喜剧/动作/悬疑,0.8810683990500298
不见不散,喜剧/爱情,0.5266470572282416
不惧风暴,动作/灾难/惊悚,0.652820691597195
不可思异,喜剧/科幻,0.479426307480927
不肯去观音,纪实/历史,0.012097919537219741
不能错过,爱情,0.24008282951345553
不能说的夏天,爱情/青春,0.30176794525395023
不速之客,惊悚/悬疑/犯罪,0.31064020155716976
不要迷恋姐,喜剧/爱情,0.5266470572282416
不再说分手,爱情,0.24008282951345553
步步追魂,惊悚/悬疑,0.23938750780056572
怖偶,惊悚,0.1421112205107126
菜鸟,喜剧/爱情,0.5266470572282416
残团,战争/爱情,0.27974948007405087
拆散专家,爱情,0.24008282951345553
超凡蜘蛛侠2,科幻/动作/冒险,1.0234951099209892
超级保镖,动作,0.49722788404539064
超级保镖,动作,0.49722788404539064
超级经纪人,爱情/都市,0.24170059263355387
超萌英雄,喜剧/爱情,0.5266470572282416
超脑48小时,动作/犯罪/剧情,0.6274076993130555
超能查派,科幻/动作/惊悚,0.8322011843222441
超能陆战队,动画/动作/喜剧,0.8753438780749292
超能太阳鸭,动画,0.09155176631475245
超能太阳鸭,动画,0.09155176631475245
超能兔战队,动画/喜剧,0.3781159940295385
超人：钢铁之躯,动作/科幻/冒险,1.0234951099209892
超体,,0.05156649382427688
超验骇客,科幻/动作,0.6900899638115315
沉睡魔咒,动作/冒险/奇幻,0.8976015991297422
城市游戏,动作/惊悚,0.6393391045561032
赤道,动作/犯罪,0.5684805778019948
赤警威龙,动作/犯罪,0.5684805778019948
赤焰战场2,动作/喜剧/犯罪/惊悚,0.9971560260274933
冲锋车,动作/犯罪,0.5684805778019948
冲锋号,动画,0.09155176631475245
冲锋战警,动作/犯罪,0.5684805778019948
冲上云霄,爱情,0.24008282951345553
丑小鸭历险记,动画,0.09155176631475245
初恋未满,爱情/青春,0.30176794525395023
厨子戏子痞子,喜剧/战争/动作,0.8234587623207722
触不可及,爱情/悬疑,0.3373591168033086
穿越火线,,0.05156649382427688
床下有人2,惊悚,0.1421112205107126
床下有人3,惊悚/恐怖/悬疑,0.243915949843127
闯入者,剧情/犯罪,0.13017981526766478
闯堂兔2疯狂马戏团,动画/喜剧/冒险/儿童,0.717488164509414
纯纯欲动,爱情/喜剧,0.5266470572282416
唇唇欲动,喜剧/青春,0.34824934345528075
刺客,动作/古装,0.5252097692345624
刺客聂隐娘,动作/武侠/古装,0.5365551547917439
刺猬小子之天生我刺,动画/儿童/冒险,0.430923936794628
刺猬小子之天生我刺,动画/儿童/冒险,0.430923936794628
刺夜,动作/悬疑,0.5945041713352438
匆匆那年,爱情/青春,0.30176794525395023
聪明的一休之反斗公主,动画,0.09155176631475245
从天“儿”降,喜剧/爱情/科幻,0.7195091369943825
丛林之王,,0.05156649382427688
催眠大师,惊悚/悬疑/心理,0.24381473920239569
催命符,惊悚/悬疑,0.23938750780056572
达人也疯狂,喜剧,0.28656422771478607
打工老板,剧情,0.058927121511060734
大变局之梦回甲午,战争/爱情/古装,0.3077313652632226
大峰祖师,惊悚/悬疑/古装,0.2673693929897374
大寒桃花开,爱情/古装,0.2680647147026272
大话天仙,喜剧/古装,0.3145461129039578
大话西游3,,0.05156649382427688
大火种,剧情/主旋律/怀旧,0.08487244198264808
大力神3D,动作/冒险,0.8306330301548484
大明劫,战争/古装,0.06764853574976708
大明猩,喜剧/运动,0.2897511777730924
大片,喜剧,0.28656422771478607
大叔，我爱你,爱情/喜剧,0.5266470572282416
大唐玄奘,剧情,0.058927121511060734
大喜临门,喜剧,0.28656422771478607
大野狼和小绵羊的爱情,爱情/喜剧/浪漫,0.5272011266344885
大鱼海棠,动画/奇幻,0.1585203352896464
大宅男,喜剧/爱情,0.5266470572282416
大宅男,喜剧/爱情,0.5266470572282416
大宅男,喜剧/爱情,0.5266470572282416
大宅男,喜剧/爱情,0.5266470572282416
单身男女2,爱情/喜剧,0.5266470572282416
当流星划过天际,爱情,0.24008282951345553
当流星划过天际,爱情,0.24008282951345553
当我们年轻的时候,剧情/青春,0.12061223725155541
党的女儿尹灵芝,剧情/主旋律,0.059017970287631435
岛囧,喜剧,0.28656422771478607
盗剑72小时,喜剧/冒险/悬疑,0.7172456611140969
盗马记,喜剧,0.28656422771478607
盗墓笔记,奇幻/悬疑,0.16424485626474708
道士下山,喜剧/冒险/动作/古装/武侠,1.1565245286159875
等爱归来,喜剧/爱情/悬疑,0.6239233445180946
等风来,爱情/文艺/公路,0.2623490796911883
等你追我,爱情/喜剧,0.5266470572282416
等一个人咖啡,爱情/喜剧,0.5266470572282416
狄仁杰之神都龙王,动作/古装/悬疑,0.6224860565244155
地心引力,科幻/惊悚,0.3349733002768535
地心营救,剧情/传记,0.07357476072947403
帝国秘符,动作/冒险,0.8306330301548484
第七谎言,惊悚/犯罪/悬疑,0.31064020155716976
第七子：降魔之战,魔幻/家庭/冒险,0.4008597267816595
第三种爱情,爱情,0.24008282951345553
第一眼爱情,爱情,0.24008282951345553
电梯惊魂,惊悚/惊秫,0.14567382679509835
垫底辣妹,剧情,0.058927121511060734
谍&middot;莲花,,0.05156649382427688
谍影特工,动作/犯罪/惊悚,0.7105917983127074
谍影重重5,动作/悬疑/惊悚,0.7366153918459564
碟仙诡谭,惊悚,0.1421112205107126
碟中谍5：神秘国度,动作/冒险/惊悚,0.9727442506655609
丢羊,剧情,0.058927121511060734
东方中国梦,纪实/纪录片,0.011113897485015583
动物也疯狂,动画,0.09155176631475245
动植物大战,动画/儿童,0.09751879068517025
斗地主,喜剧,0.28656422771478607
斗龙战士之星印罗盘,动画/奇幻,0.1585203352896464
毒战,动作/惊悚/犯罪,0.7105917983127074
独行侠,动作/冒险/西部,0.8335310012324549
独立日：卷土重来,动作/科幻/冒险,1.0234951099209892
杜拉拉追婚记,爱情/喜剧,0.5266470572282416
对不起，我爱你,爱情,0.24008282951345553
