date,box,name_meta,moviename,stars,faxing,zhizuo,daoyan,zhizuor,theme
25/7/2013,37.58,爱，很美,爱，很美,颖儿;刘羽琦;周觅;郭品超;黄子腾;骆达华;,上海善喜影视传媒有限公司;,浙江华友文化创意有限公司;杭州奇门盾甲文化创意有限公司;杭州黑奥文化艺术策划有限公司;深海影视工作室;源动力文化传媒有限公司;,殷悦;,,爱情
2/8/2013,203.98,爱爱囧事,爱爱囧事,赵奕欢;陈美行;王一;莫熙儿;游艺湉;赵雨菁;董玉峰;秦汉擂;李曼铱;,华夏电影发行有限责任公司;北京今典影业有限公司;北京泽西年代影业有限公司;北京联艺电影发行有限公司;,北京泽西年代影业有限公司;,关尔;,,爱情/喜剧/青春
18/9/2013,121.19,爱别离,爱别离,张檬;卓予童;缪婷茹;索朗尼玛;王盈凯;黄阅;,四川英明影视文化艺术有限责任公司;,四川英明影视文化艺术有限责任公司;北京京奇非凡影视文化有限公司;台湾魔力模力国际文化传播有限公司;,吴林;,,爱情
2/8/2016,33317.13,爱宠大机密,爱宠大机密,何炅;艾丽·坎伯尔;凯文·哈特;蕾克·贝尔;路易斯·c·k;陈佩斯;艾瑞克·斯通斯崔特;汉尼拔·布勒斯;达纳·卡维;史蒂夫·库根;艾伯特·布鲁克斯;鲍比·莫尼汉;珍妮·斯蕾特;布莱恩t·德莱尼;吉姆·库宁斯;卡洛斯·阿拉兹拉奎;罗里·艾伦;比尔·法默;约翰·卡西尔;,United International Pictures (UIP) ;华夏电影发行有限责任公司;环球影业公司;Universal Pictures International (UPI) ;Universal Pictures International ;Andes Films ;二十世纪福斯公司;Finnkino Oy ;东宝东和;中国电影集团公司;中国电影股份有限公司;环球影业;,环球影业公司;富士电视台;Dentsu ;Illumination Entertainment ;照明娱乐公司;环球影业;,亚罗·切尼;克里斯·雷纳德;,克里斯托弗·麦雷丹德瑞;dave rosenbaum;brett hoffman;珍娜·海莉;robert taylor;,动画/喜剧
15/9/2016,38.43,爱的“蟹”逅,爱的“蟹”逅,俞小凡;黄世超;程予希;谢君豪;程予晞;,华夏电影发行有限责任公司;上海星洲文化传媒有限公司;,上海星洲文化传媒有限公司;善林(上海)金融信息服务有限公司;,崔轶;,,爱情
27/5/2016,34828.33,爱丽丝梦游仙境2：镜中奇遇记,爱丽丝梦游仙境2：镜中奇遇记,米娅·华希科沃斯卡;约翰尼·德普;海伦娜·伯翰·卡特;安妮·海瑟薇;爱德华·斯派勒斯;琳赛·邓肯;约翰·塞森斯;乔·波斌;西蒙妮·科尔比;芭芭拉·温德索;保罗·怀特豪斯;萨莎·拜伦·科恩;瑞斯·伊凡斯;艾伦·里克曼;迈克尔·辛;蒂莫西·斯波;斯蒂芬·弗雷;马特·卢卡斯;安德鲁·斯科特;弗朗西斯·德·拉·..;杰拉丁尼·詹姆斯;拉斯科·阿特金斯;,华夏电影发行有限责任公司;Walt Disney Studios Motion Pictures Finland ;Walt Disney Studios Motion Pictures ;Feelgood Entertainment ;Westec Media Limited ;华特·迪士尼电影工作室;华特·迪士尼电影公司;Walt Disney Studios Japan ;2i Film ;中国电影集团公司;中国电影股份有限公司;,华特·迪斯尼影片公司;Roth Films ;Team Todd ;Tim Burton Productions ;Legend3D ;,詹姆斯·波宾;,乔·罗斯;jennifer todd;苏珊·陶德;蒂姆·波顿;john g. scott;,奇幻/冒险
24/12/2014,21.51,爱你不等来生,爱你不等来生,刘长纯;陈彦雯;王豫飞;朱盈盈;王小溪;向甜;刘宇;苏丹萍;,北京基点影视文化传媒有限公司;,珠海市星座文化传播有限公司;东莞多影多视文化传播有限公司;友邦兄弟（北京）影视文化传播有限公司;俞才斌影视工作室;,王安庆;,,爱情/励志
29/10/2013,77.68,爱拼北京,爱拼北京,贾乃亮;赵柯;杨洋;张绍刚;曹雨;李九霄;季晨;,浙江艺能传媒股份有限公司;智慧工场（北京）文化传媒有限公司;,智慧工场（北京）文化传媒有限公司;北京光耀天润广告有限公司;北京央广纵横文化传媒有限公司;,康博;,,爱情
10/2/2013,667.93,爱情不NG,爱情不NG,李小冉;余少群;赵英俊;张大礼;朱一龙;袁成杰;范雷;苏见信;,星美(北京)影业有限公司;,星美(北京)影业有限公司;北京热麦国际影视文化传媒有限公司;北京渔阳集团;德福（天津）投资集团有限公司;中国民生银行股份有限公司;,朱时茂;,,喜剧/爱情
28/11/2014,55.37,爱情狂想曲,爱情狂想曲,童苡萱;付曼;于金龙;崔文璐;李威;苏小妹;秦汉擂;,北京基点影视文化传媒有限公司;,天津滨海新区环宇影视传媒有限公司;,丛艺;,,爱情/喜剧
8/3/2016,1727.51,爱情麻辣烫之情定终身,爱情麻辣烫之情定终身,张歆艺;周一围;秦昊;田原;张梓琳;黄灿灿;安以轩;何润东;金志文;,北京安石英纳影视文化有限公司;江苏安石英纳电影发行有限公司;中影数字电影发展(北京)有限公司;,长影集团有限责任公司;星皓娱乐集团;北京微影时代科技有限公司;星皓影业有限公司;烟台文化发展投资基金有限公司;北京龙世纪文化传播有限公司;西部电影集团有限公司;,肖飞;征长张;,,爱情
17/7/2015,17.56,爱情魔发师,爱情魔发师,张燃;崔浩博;黄一飞;朱咪咪;王子轩;游游;刘佳怡;,北京中外世纪影视文化传播有限公司;北京明雅飞天影业有限公司;,北京仁和博纳文化传媒有限公司;北京湍泷天吼文化传媒有限公司;,倾海;,,喜剧/爱情
14/3/2013,515.81,爱情银行,爱情银行,江汉;夏雨;常远;周泓;徐洁儿;王翔;侯茗皓;,北京帧画面影视文化传播有限公司;,北京十月天文化传媒股份有限公司;,曲江涛;,,爱情
8/3/2013,1196.64,爱神,爱神,钟汉良;张俪;王子文;任重;张茜;蒲巴甲;肖剑;何杜娟;吴昕;松明;应际蕾;洪天明;关凌;,蘭发行团队;上海凯羿影视传播有限公司;上海广角镜影视文化传播有限公司;,上海凯羿影视传播有限公司;时代三和文化投资（北京）股份有限公司;上海锦瑟文化传播有限公司;深圳炫奇文化传播有限公司;,花明;,,爱情
30/4/2015,887.67,爱我就陪我看电影,爱我就陪我看电影,姜武;余男;任达华;吴镇宇;惠英红;金汎;古力娜扎;,浙江东阳四月天影视文化有限公司;,浙江东阳四月天影视文化有限公司;北京大桥唐人影视传媒有限公司;北京大悦天成国际文化传播有限公司;山西求索文化传播有限公司;北京菲尔幕文化传媒有限公司;北京龙乐东方影视文化传媒有限公司;北京随缘文化发展有限公司;南京蝶蕴文化传媒有限公司;,牛朝阳;,,喜剧/爱情
26/8/2016,98.49,爱在星空下,爱在星空下,江若琳;陆昱霖;陈泽宇;向海岚;马德钟;叶新晨;,珠江影业传媒股份有限公司;,上海汪子琦文化传播有限公司;,汪子琦;,,剧情/爱情
7/8/2015,321.61,爱之初体验,爱之初体验,那威;张瑶;刘雅瑟;张超;叶童;吴大维;白梓轩;隋凯;屈菁菁;李晓峰;金钟勋;,上海电影股份有限公司影视发行分公司;大众点评网;天津银河文化传媒有限公司;,北京小马奔腾文化传媒股份有限公司;上海亚洲电视艺术中心;上海锦瑟天下影视有限公司;大卫传媒投资有限公司;国民信托有限公司;浙江自在影业有限公司;上海以观传播有限公司;,海涛;,,喜剧/爱情/青春
7/1/2014,11040.8,安德的游戏,安德的游戏,哈里森·福特;维奥拉·戴维斯;海莉·斯坦菲尔德;马里特·皮特斯;乔凡尼·席尔瓦;阿拉米斯·奈特;莫伊塞斯·阿里亚斯;布兰登·司徒;汉·索托;埃里克·布朗;阿比吉尔·布莱斯林;阿沙·巴特菲尔德;侬索·阿诺斯;本·金斯利;安德瑞·鲍威尔;,华夏电影发行有限责任公司;,,,,动作/科幻
9/1/2015,331.03,安妮：纽约奇缘,安妮：纽约奇缘,派翠西娅·克拉克森;马修·古利;安德鲁·弗莱明;卡梅隆·迪亚茨;布什·欧康奈尔;奎文赞妮·瓦利斯;杰米·福克斯;大卫·札亚斯;翠茜·索姆斯;阿德沃尔·阿吉纽依..;丹尼尔·费海提;蕾哈娜;米拉·库妮丝;鲍比·坎纳瓦尔;鲍比·莫尼汉;艾什顿·库彻;萝丝·拜恩;艾伦d·柏温;,华夏电影发行有限责任公司;,威秀影业;哥伦比亚影片公司;,威尔·古勒;,,喜剧/家庭
11/1/2013,665.47,暗恋99天,暗恋99天,赵柯;森美;邓丽欣;阮小仪;苏耀宗;王志安;陈僖仪;杨诗敏;黄宗泽;,华夏电影发行有限责任公司;星光联盟文化发展（北京）有限公司;,星光联盟文化发展（北京）有限公司;北京溢通导明文化传播有限公司;太阳娱乐文化有限公司;,火火;,,爱情
17/9/2015,4471.64,暗杀,暗杀,河正宇;全智贤;金义成;李璟荣;曹承佑;崔德文;朴炳垠;吴达洙;李政宰;赵震雄;,华夏电影发行有限责任公司;,秀宝;,崔东勋;,,动作/犯罪/历史
23/7/2015,834.53,奥拉星：进击圣殿,奥拉星：进击圣殿,李正翔;詹佳;周帅;张安琪;赵路;张琦;金锋;孟祥龙;刘北辰;,美亚长城传媒（北京）有限公司;上海炫动传播股份有限公司;珠江影业传媒股份有限公司;辽宁中影北方电影院线有限责任公司;淄博齐纳影业投资有限公司;四海电影发行联盟;,上海炫动传播股份有限公司;珠江电影集团有限公司;美亚传媒;广州百田信息科技有限公司;天漫文化;弘图光合电影投资基金;,钟智行;,,动画/儿童/冒险
29/12/2013,3932.36,奥林匹斯的陷落,奥林匹斯的陷落,摩根·弗里曼;艾伦·艾克哈特;尹成植;杰拉德·巴特勒;肖恩·奥布莱恩;梅丽莎·里奥;拉妲·米契尔;艾什莉·贾德;科尔·豪瑟;安吉拉·贝塞特;罗伯特·福斯特;迪伦·麦克德莫特;,华夏电影发行有限责任公司;,Nu Image Films ;,安东尼·福奎阿;,,动作/惊悚
31/1/2014,35364.63,澳门风云,澳门风云,高虎;孟瑶;张晋;景甜;胡然;童菲;周润发;杜汶泽;黄文慧;伍允龙;吴辰君;王敏德;谢霆锋;梁敏仪;何华超;沈震轩;许绍雄;,,香港电视广播有限公司;太阳娱乐文化有限公司;香港星王朝有限公司;,王晶;钟少雄;,,动作/警匪
19/2/2015,78643.09,澳门风云2,澳门风云2,姜大卫;刘嘉玲;吴樾;金巧巧;袁泉;孟瑶;胡然;童菲;王诗龄;刘德华;曾志伟;周润发;张家辉;陈百祥;余文乐;宝儿;文凯玲;曾国祥;姜皓文;黄德斌;,,北京和颂世纪文化传播有限公司;,张敏;王晶;,,动作/喜剧
8/2/2016,100234.58,澳门风云3,澳门风云3,姜大卫;刘嘉玲;胡然;童菲;王诗龄;向华强;刘德华;罗家英;周润发;张家辉;张学友;余文乐;江美仪;向佐;朴载相;曾国祥;姜皓文;李宇春;,华夏电影发行有限责任公司;博纳影业集团;,香港寰亚电影有限公司;华夏电影发行有限责任公司;邵氏兄弟（香港）有限公司;太阳娱乐文化有限公司;香港星王朝有限公司;中国星集团;夢造者;中国星电影有限公司;博纳影业集团;,王晶;刘伟强;,,动作/喜剧/冒险
