Moviename,month,weight
九层妖塔,9,0.09156828525468516
九条命,9,0.09156828525468516
救火英雄,1,0.08189636323052459
狙击时刻,10,0.03635877373643945
菊花台,2,0.11816418032921183
巨人捕手杰克,3,0.06869869288535177
飓风营救3,3,0.06869869288535177
绝地逃亡,7,0.1285874696349652
绝密跟踪,9,0.09156828525468516
绝命海拔,11,0.05018587969068192
绝命航班,3,0.06869869288535177
绝命逃亡,9,0.09156828525468516
绝战,7,0.1285874696349652
开罗宣言,9,0.09156828525468516
开罗宣言,3,0.06869869288535177
开罗宣言,9,0.09156828525468516
开罗宣言,3,0.06869869288535177
开心超人,6,0.0994807927657334
开心超人2启源星之战,7,0.1285874696349652
铠甲勇士之雅塔莱斯,10,0.03635877373643945
考拉大冒险,5,0.057518920082634255
可爱的你,3,0.06869869288535177
渴望的青春,5,0.057518920082634255
空中营救,9,0.09156828525468516
恐怖爱情故事之死亡公路,7,0.1285874696349652
恐怖电影院,10,0.03635877373643945
恐怖将映,3,0.06869869288535177
恐怖禁忌之红旗袍,3,0.06869869288535177
恐怖禁忌之红旗袍,3,0.06869869288535177
恐怖游泳馆,7,0.1285874696349652
控制,11,0.05018587969068192
哭恋,1,0.08189636323052459
快乐到家,1,0.08189636323052459
快手枪手快枪手,7,0.1285874696349652
快手枪手快枪手,7,0.1285874696349652
筷仙,6,0.0994807927657334
狂怒,11,0.05018587969068192
狂舞派,2,0.11816418032921183
狂野飞车,8,0.08684763728338371
狂野非洲,11,0.05018587969068192
魁拔Ⅲ战神崛起,10,0.03635877373643945
魁拔之大战元泱界,5,0.057518920082634255
昆塔&middot;盒子总动员,8,0.08684763728338371
蜡笔总动员,2,0.11816418032921183
来历不明,8,0.08684763728338371
蓝精灵2,9,0.09156828525468516
蓝色骨头,10,0.03635877373643945
狼兵吼,8,0.08684763728338371
狼少年,12,0.08869781338527857
狼图腾,2,0.11816418032921183
狼图腾,2,0.11816418032921183
老男孩之猛龙过江,7,0.1285874696349652
老炮儿,12,0.08869781338527857
乐乐熊奇幻追踪,6,0.0994807927657334
了不起的盖茨比,8,0.08684763728338371
雷锋的微笑,3,0.06869869288535177
雷锋在1959,3,0.06869869288535177
雷神2：黑暗世界,11,0.05018587969068192
冷瞳,10,0.03635877373643945
黎明之眼,9,0.09156828525468516
李可乐寻人记,2,0.11816418032921183
里约大冒险2,4,0.0919951917211108
练胆儿,6,0.0994807927657334
恋爱教父之三个“坏”家伙,1,0.08189636323052459
恋爱排班表,6,0.0994807927657334
恋爱中的城市,8,0.08684763728338371
恋者多喜欢,3,0.06869869288535177
烈日灼心,8,0.08684763728338371
猎仇者,11,0.05018587969068192
猎神：冬日之战,4,0.0919951917211108
林中小屋,2,0.11816418032921183
临时同居,8,0.08684763728338371
临终囧事,5,0.057518920082634255
灵偶契约,4,0.0919951917211108
灵臆事件,11,0.05018587969068192
刘老庄八十二壮士,3,0.06869869288535177
六福喜事,1,0.08189636323052459
龙骑侠,1,0.08189636323052459
龙拳小子,8,0.08684763728338371
龙之谷：破晓奇兵,7,0.1285874696349652
楼,3,0.06869869288535177
陆垚知马俐,7,0.1285874696349652
陆垚知马俐,7,0.1285874696349652
路边野餐,7,0.1285874696349652
路边野餐,7,0.1285874696349652
露水红颜,11,0.05018587969068192
孪生密码,11,0.05018587969068192
伦敦陷落,4,0.0919951917211108
洛克王国2圣龙的心愿,1,0.08189636323052459
洛克王国3：圣龙的守护,7,0.1285874696349652
洛克王国4：出发！巨人谷,8,0.08684763728338371
洛杉矶捣蛋计划,3,0.06869869288535177
洛杉矶捣蛋计划,3,0.06869869288535177
落经山,9,0.09156828525468516
落跑吧，爱情,9,0.09156828525468516
绿林大冒险,1,0.08189636323052459
妈咪侠,5,0.057518920082634255
马达加斯加的企鹅,11,0.05018587969068192
马小乐之玩具也疯狂,4,0.0919951917211108
玛德2号,8,0.08684763728338371
麦兜&middot;我和我妈妈,10,0.03635877373643945
麦兜·饭宝奇兵,7,0.1285874696349652
麦兜·饭宝奇兵,9,0.09156828525468516
曼德拉,7,0.1285874696349652
盲探,7,0.1285874696349652
猫脸老太太,4,0.0919951917211108
没女神探,12,0.08869781338527857
美国队长2：冬日战士,4,0.0919951917211108
美国骗局,7,0.1285874696349652
美姐,10,0.03635877373643945
美丽笨女人,3,0.06869869288535177
美女与野兽,9,0.09156828525468516
美人邦,8,0.08684763728338371
美人鱼,2,0.11816418032921183
美人鱼之海盗来袭,7,0.1285874696349652
门巴将军,10,0.03635877373643945
盟军夺宝队,3,0.06869869288535177
梦幻岛,3,0.06869869288535177
梦幻飞琴,2,0.11816418032921183
梦想合伙人,4,0.0919951917211108
迷魂之密室逃脱,12,0.08869781338527857
迷与狂,5,0.057518920082634255
谜城,7,0.1285874696349652
秘术,11,0.05018587969068192
密道追踪之阴兵虎符,12,0.08869781338527857
蜜月酒店杀人事件,5,0.057518920082634255
喵星少年漂流记,10,0.03635877373643945
明日边缘,6,0.0994807927657334
明日世界,5,0.057518920082634255
鸣梁海战,12,0.08869781338527857
命运派对,2,0.11816418032921183
命中注定,7,0.1285874696349652
模仿游戏,7,0.1285874696349652
模特魅影,7,0.1285874696349652
摩登年代,8,0.08684763728338371
摩尔庄园3：魔幻列车大冒险,2,0.11816418032921183
摩尔庄园3：魔幻列车大冒险,4,0.0919951917211108
摩尔庄园3：魔幻列车大冒险,2,0.11816418032921183
摩尔庄园3：魔幻列车大冒险,4,0.0919951917211108
摩纳哥王妃,6,0.0994807927657334
魔都凶音,7,0.1285874696349652
魔法老师,9,0.09156828525468516
魔法总动员,4,0.0919951917211108
魔宫魅影,4,0.0919951917211108
魔幻仙踪,5,0.057518920082634255
魔警,4,0.0919951917211108
魔境仙踪,3,0.06869869288535177
