Moviename,month,weight
﻿0.5的爱情,9,0.08820247095708694
007：大破天幕杀机,1,0.10114720733538597
007：幽灵党,11,0.056155038095030606
101次求婚,2,0.11051149497753063
1980年代的爱情,9,0.08820247095708694
2012 3D,11,0.056155038095030606
201314,1,0.10114720733538597
201413,1,0.10114720733538597
201413爱你一世一生,4,0.08821690037494175
21岁派对,11,0.056155038095030606
234说爱你,9,0.08820247095708694
37次想你,12,0.08814411291204274
3D食人虫,10,0.04010043790542329
4B青年之4楼B座,9,0.08820247095708694
5月天诺亚方舟,9,0.08820247095708694
708090之深圳恋歌,5,0.09213951246791681
80后的独立宣言,2,0.11051149497753063
81号农场之保卫麦咭,9,0.08820247095708694
81号农场之疯狂的麦咭,10,0.04010043790542329
9号女神,1,0.10114720733538597
B+侦探,1,0.10114720733538597
B区32号,1,0.10114720733538597
Hello！树先生！,9,0.08820247095708694
Hi，高考君,8,0.0759355208260557
HOLD住爱,2,0.11051149497753063
U盘,1,0.10114720733538597
X战警：天启,6,0.08479755923141834
X战警：逆转未来,5,0.09213951246791681
一万年以后,3,0.06181145268477245
一个人的恋情,12,0.08814411291204274
一个人的武林,10,0.04010043790542329
一个勺子,11,0.056155038095030606
一个温州的女人,3,0.06181145268477245
一九四二,11,0.056155038095030606
一代宗师,1,0.10114720733538597
一代宗师3D,1,0.10114720733538597
一切都好,1,0.10114720733538597
一刻十年,11,0.056155038095030606
一号目标,5,0.09213951246791681
一场风花雪月的事,8,0.0759355208260557
一夜危机,3,0.06181145268477245
一夜惊喜,8,0.0759355208260557
一夜成名,1,0.10114720733538597
一家老小向前冲,1,0.10114720733538597
一座城池,9,0.08820247095708694
一念天堂,12,0.08814411291204274
一条叫王子的狗,9,0.08820247095708694
一棵心中的许愿树,8,0.0759355208260557
一步之城,12,0.08814411291204274
一步之遥,12,0.08814411291204274
一生一世,9,0.08820247095708694
一触即发,1,0.10114720733538597
一诺·千金,10,0.04010043790542329
一路向前,8,0.0759355208260557
一路惊喜,2,0.11051149497753063
一路狂奔,5,0.09213951246791681
一路顺疯,9,0.08820247095708694
七品知县进道观（豫剧）,7,0.11283829223239823
七彩田野,7,0.11283829223239823
七月与安生,9,0.08820247095708694
七月半2：前世今生,8,0.0759355208260557
七月半之恐怖宿舍,8,0.0759355208260557
万万没想到,12,0.08814411291204274
