Moviename,Type,weight
﻿0.5的爱情,﻿爱情,3.512333303751971e-06
007：大破天幕杀机,动作/冒险/惊悚,0.83103396991038
007：幽灵党,动作/冒险/惊悚/悬疑,0.906096867207178
101次求婚,爱情,0.19833796563683181
1980年代的爱情,爱情,0.19833796563683181
2012 3D,灾难/动作/惊悚,0.5525225422241374
201314,爱情,0.19833796563683181
201413,爱情,0.19833796563683181
201413爱你一世一生,爱情,0.19833796563683181
21岁派对,喜剧,0.2570479345612374
234说爱你,,0.1841949823263029
37次想你,爱情/青春,0.25057328994106526
3D食人虫,惊悚/科幻/灾难,0.29359931834542036
4B青年之4楼B座,喜剧/爱情,0.4553859001980693
5月天诺亚方舟,纪录片/音乐/歌舞,0.007580967517818698
708090之深圳恋歌,爱情/剧情/青春/励志,0.30854530760311444
80后的独立宣言,剧情/青春/励志,0.1102073419662826
81号农场之保卫麦咭,动画,0.08751276410146716
81号农场之疯狂的麦咭,动画,0.08751276410146716
9号女神,爱情,0.19833796563683181
B+侦探,,0.1841949823263029
B区32号,,0.1841949823263029
Hello！树先生！,,0.1841949823263029
Hi，高考君,剧情/喜剧,0.30684562366117957
HOLD住爱,,0.1841949823263029
U盘,喜剧,0.2570479345612374
X战警：天启,动作/科幻/冒险,0.885298255640561
X战警：逆转未来,科幻/动作/冒险,0.885298255640561
一万年以后,动作,0.4242107898081302
一个人的恋情,爱情,0.19833796563683181
一个人的武林,动作/悬疑/警匪/功夫/爱情,0.7236538737377263
一个勺子,喜剧/冒险,0.552847834464255
一个温州的女人,爱情/家庭,0.22560175044054573
一九四二,战争/灾难/历史,0.05878595135620601
一代宗师,动作/传记,0.43582700430315396
一代宗师3D,动作/传记,0.43582700430315396
一切都好,喜剧,0.2570479345612374
一刻十年,爱情,0.19833796563683181
一号目标,动作/悬疑/剧情,0.5490713762048701
一场风花雪月的事,爱情/动作/警匪,0.6466896437992036
一夜危机,爱情/喜剧,0.4553859001980693
一夜惊喜,爱情/喜剧,0.4553859001980693
一夜成名,,0.1841949823263029
一家老小向前冲,喜剧,0.2570479345612374
一座城池,喜剧/青春,0.30928325886547087
一念天堂,喜剧,0.2570479345612374
一条叫王子的狗,,0.1841949823263029
一棵心中的许愿树,剧情/爱情,0.24813565473677393
一步之城,,0.1841949823263029
一步之遥,喜剧/歌舞/爱情,0.4599465395525161
一生一世,爱情,0.19833796563683181
一触即发,动作/惊悚,0.5352340700073623
一诺·千金,剧情/农村,0.049890979181299276
一路向前,爱情/喜剧,0.4553859001980693
一路惊喜,爱情,0.19833796563683181
一路狂奔,喜剧,0.2570479345612374
一路顺疯,喜剧,0.2570479345612374
七品知县进道观（豫剧）,剧情/戏曲,0.04982940672407975
七彩田野,剧情/农村,0.049890979181299276
七月与安生,,0.1841949823263029
七月半2：前世今生,惊悚/恐怖,0.11411022979894775
七月半之恐怖宿舍,惊悚/恐怖,0.11411022979894775
万万没想到,喜剧/古装/冒险,0.5766895178067905
万有引力,,0.1841949823263029
万物生长,爱情/青春,0.25057328994106526
万箭穿心,爱情,0.19833796563683181
三个孬家伙,喜剧/剧情,0.30684562366117957
三个未婚妈妈,,0.1841949823263029
三人行,动作/惊悚/犯罪,0.5920193862785131
三十七,,0.1841949823263029
三只小猪与神灯,动画/励志/儿童/喜剧,0.35707045075020283
三城记,爱情,0.19833796563683181
三小强,动画,0.08751276410146716
三更车库,惊悚/恐怖,0.11411022979894775
三月情流感,爱情/喜剧,0.4553859001980693
下一个奇迹,,0.1841949823263029
下一站再爱你,爱情,0.19833796563683181
不二神探,喜剧/动作/悬疑,0.7563216216661656
不再让你孤单,,0.1841949823263029
不再说分手,爱情,0.19833796563683181
不可思异,喜剧/科幻,0.4223355004906506
不怕贼惦记,,0.1841949823263029
不惧风暴,动作/灾难/惊悚,0.5525225422241374
不是钱的事,剧情,0.049797689099942116
不朽的时光,剧情/励志,0.05797201766204916
不爱不散,爱情,0.19833796563683181
不肯去观音,纪实/历史,0.014676348057167552
不能说的夏天,爱情/青春,0.25057328994106526
不能错过,爱情,0.19833796563683181
不要迷恋姐,喜剧/爱情,0.4553859001980693
不见不散,喜剧/爱情,0.4553859001980693
不速之客,惊悚/悬疑/犯罪,0.24287149376718095
与时尚同居,,0.1841949823263029
与贼同屋,爱情/悬疑,0.27340086293362975
丑小鸭历险记,动画,0.08751276410146716
丑男大翻身,爱情,0.19833796563683181
世界屋脊的歌声,剧情,0.049797689099942116
丛林有情狼,,0.1841949823263029
东北偏北,喜剧/犯罪/悬疑,0.3888961481291862
东方中国梦,纪实/纪录片,0.009176834413723323
东方欲晓,纪实/革命/历史,0.014676354329191309
东莞女孩,爱情,0.19833796563683181
丝路英雄·云镝,,0.1841949823263029
丢羊,剧情,0.049797689099942116
中国合伙人,爱情/励志/青春,0.2587476185031723
中国好声音之为你转身,歌舞/纪实,0.011290125707889172
临时同居,爱情/喜剧,0.4553859001980693
