爱情/青春,49.2,53.580000,2014/12/23,37次想你,2014/12/24,37次想你,37次想你,白冰;付辛博;吉杰;谭维维;钟伟强;傅颖;,北京大势渡文化传媒;水母互动（天津）科技有限公司;,四川峨影影视传播有限责任公司;成都宁歌文化传播有限公司;北京蓝白红文化传媒有限公司;,郭廷波;,
惊悚/科幻/灾难,2260,2255.270000,2014/10/7,3D食人虫,2014/10/10,3D食人虫,3D食人虫,王传君;曹云金;夏梓桐;张梓琳;,广州美亚华天下电影发行有限公司;珠江影业传媒股份有限公司;,深圳市金海岸影业有限公司;美亚长城传媒（北京）有限公司;珠江影业传媒股份有限公司;北京东方画面影业有限公司;,严嘉;,
喜剧/爱情,452.3,451.020000,2013/9/9,4B青年之4楼B座,2013/9/10,4B青年之4楼B座,4B青年之4楼B座,姜超;蒲巴甲;董立范;付辛博;孔二狗;夏梓桐;彭宇;陈雅丽;郑浩南;傅颖;刘心悠;田子田;,北京安石英纳电影发行公司;,深圳市金海岸影业有限公司;北京综艺星皓文化传播有限公司;北京文华东润投资有限公司;九龙品天（北京）文化传播有限公司;渝乐（北京）文化传媒有限公司;,孙达;,
纪录片/音乐/歌舞,2089.6,2083.850000,2013/9/16,5月天诺亚方舟,2013/9/19,5月天诺亚方舟,5月天诺亚方舟,言承旭;林依晨;石头;玛莎;陈信宏;怪兽;林晖闵;冠佑;,,相信音乐唱片公司;,刘名峰;,
爱情/剧情/青春/励志,42.7,42.650000,2016/5/19,708090之深圳恋歌,2016/5/20,708090之深圳恋歌,708090之深圳恋歌,陈锐;赵奕欢;赵晨妍;吕良伟;温碧霞;李凤鸣;宋智孝;万里;李东瀚;吴克羣;多亮;刘锡贤;商侃;,北京华信博文化传媒有限公司;深圳同盈股权投资基金管理有限公司;,美亚电影制作有限公司;深圳同盈股权投资基金管理有限公司;深圳市美亚文化传播有限公司;深圳优美影视制作有限公司;,邓鉴泉;林依琦;陈木川;,
,,,,,,,72家租客 2011,林峯;黄宗泽;林辉泰;,,邵氏兄弟（香港）有限公司;,曾志伟;钟澍佳;,
剧情/青春/励志,39.7,39.740000,2014/2/18,80后的独立宣言,2014/2/21,80后的独立宣言,80后的独立宣言,侯勇;许还山;李洪涛;张佳宁;张浩天;刘帅良;杨冬;何赛飞;马德华;苏晴;曹炳琨;,华夏电影发行有限责任公司;,浙江浙影年代文化传播有限公司;,森岛;,
动画,2515.7,2518.060000,2013/9/28,81号农场之保卫麦咭,2013/9/28,81号农场之保卫麦咭,81号农场之保卫麦咭,,上海河马动画设计股份有限公司;上海炫动传播股份有限公司;,上海河马动画设计股份有限公司;湖南金鹰卡通有限公司;上海炫动传播股份有限公司;上海视金石动画有限公司;,徐克;,
动画,1878,1875.320000,2014/9/29,81号农场之疯狂的麦咭,2014/10/1,81号农场之疯狂的麦咭,81号农场之疯狂的麦咭,,上海电影（集团）有限公司;幻克影业;,上海河马动画设计股份有限公司;湖南电视台金鹰卡通卫视;上海全土豆网络科技有限公司;,徐克;赵文杰;,
爱情,5.1,5.110000,2014/1/8,9号女神,2014/1/9,9号女神,9号女神,周帅;冯家妹;吕星辰;,,西安一路阳光影视文化有限责任公司;陕西太和实业集团有限公司;,章明;,
,,2502.110000,2013/1/10,B+侦探,,,B+侦探,林雪;龚蓓苾;王梓一;谭耀文;廖启智;郭富城;黄又南;谷祖琳;刘浩龙;林司敏;原丽淇;徐正曦;张兆辉;,寰宇影片发行有限公司;北京光线影业有限公司;,香港银都机构有限公司;寰宇娱乐有限公司;,彭顺;,
,,1245.000000,2013/1/4,B区32号,,,B区32号,邓紫衣;李锐;唐宸禹;,北京春秋时代文化有限公司;福建恒业影业有限公司;上海炫映影视传播有限公司;,北京春秋时代文化有限公司;福建恒业影业有限公司;,吕建民;,
,,222.200000,2014/9/6,Hello！树先生！,,,Hello！树先生！,王宝强;何洁;谭卓;李京怡;王大治;白培将;,上海电影股份有限公司影视发行分公司;,上海电影（集团）有限公司;北京西河星汇数字娱乐技术有限公司;,韩杰;,
剧情/喜剧,31.1,45.340000,2016/8/21,Hi，高考君,2016/8/19,Hi，高考君,Hi，高考君,王楚;倪景阳;孙松;高亚麟;郑卫莉;郭东文;董慧;张恩齐;周文;,国家新闻出版广电总局电影卫星频道节目制作中心;辽宁中影北方电影院线有限责任公司;,国家新闻出版广电总局电影卫星频道节目制作中心;电影频道节目制作中心;北京三鸿门文化传播有限公司;北京三鸿门文化有限公司;,张馨;,
,,4413.650000,2016/2/18,HOLD住爱,,,HOLD住爱,周秀娜;王骁;冯丹滢;吴依琳;曾志伟;刘恺威;吴岱融;王景春;钟舒漫;,北京橙天嘉禾影视制作有限公司;广州金逸影视传媒股份有限公司;大地时代电影发行（北京）有限公司;万达影视传媒有限公司;,大地时代电影文化传播(北京)有限公司;广州金逸影视传媒股份有限公司;万达影视传媒有限公司;,张琦;,
喜剧,40.5,40.500000,2014/1/31,U盘,2014/1/31,U盘,U盘,董立范;唐爱国;辛凯;阿速;小么哥;田昊;魏婷婷;杨蕊;肖雨雨;颜冠英;白云;杨珑;,山东龙视天下传媒集团有限公司;,神州金马影视文化传媒;山东龙视天下传媒集团有限公司;,徐志强;,
动作/科幻/冒险,80267.9,80257.610000,2016/6/2,X战警：天启,2016/6/3,X战警：天启,X战警：天启,托马斯·雷玛奎斯;斯坦·李;柯蒂·斯密特-麦菲;卢卡斯·提尔;伊万·彼得斯;奥斯卡·伊萨克;尼古拉斯·霍尔特;奥立薇娅·玛恩;詹姆斯·麦卡沃伊;迈克尔·法斯宾德;詹妮弗·劳伦斯;索菲·特纳;泰尔·谢里丹;亚历山德拉·西普;萝丝·拜恩;本·哈迪;拉娜·孔多尔;乔什·赫尔曼;乔·科布登;,20世纪福克斯电影公司;华夏电影发行有限责任公司;Odeon ;Twentieth Century Fox C.I.S. ;Westec Media Limited ;Big Picture 2 Films ;二十世纪福斯电影公司;二十世纪福斯公司;20世纪福克斯阿根廷分公司;SF Film Finland ;Sena ;二十世纪福斯德国分公司;华纳兄弟公司;二十世纪福斯荷兰分公司;20th Century Fox de Chile ;Blitz Film & Video Distribution ;20,20世纪福克斯电影公司;TSG Entertainment ;二十世纪福斯电影公司;漫威娱乐;Donners' Company ;Bad Hat Harry Productions ;Mel's Cite du Cinema ;Kinberg Genre ;,布莱恩·辛格;,斯坦·李;布莱恩·辛格;西蒙·金伯格;劳伦·舒勒·唐纳;约翰·奥特曼;todd hallowell;josh mclaglen;kathleen mcgill;
科幻/动作/冒险,72296.8,72215.490000,2014/5/22,X战警：逆转未来,2014/5/23,X战警：逆转未来,X战警：逆转未来,范冰冰;休·杰克曼;安娜·帕奎因;奥马·希;彼特·丁拉基;哈莉·贝瑞;丹尼尔·库德摩尔;拉里·戴;艾伦·佩基;卢卡斯·提尔;伊万·彼得斯;尼古拉斯·霍尔特;伊恩·麦克莱恩;詹姆斯·麦卡沃伊;波波·斯图尔特;肖恩·阿什莫;迈克尔·法斯宾德;帕特里克·斯图尔特;詹妮弗·劳伦斯;,华夏电影发行有限责任公司;,20世纪福克斯电影公司;美国漫威影业公司;,布莱恩·辛格;,
,,,,,2016/8/5,X特遣队,X特遣队,威尔·史密斯;杰瑞德·莱托;玛歌特·罗比;杰·科特尼;维奥拉·戴维斯;卡拉·迪瓦伊;斯科特·伊斯特伍德;乔尔·金纳曼;杰伊·赫尔南德兹;雷·奥鲁鲍威尔;本·阿弗莱克;阿德沃尔·阿吉纽依..;福原凯伦;亚当·比奇;艾克·拜瑞豪兹;科芮娜·卡尔德隆;,Warner Bros. ;NOS Audiovisuais ;华纳兄弟影片公司;华纳兄弟公司;Warner Bros. GmbH ;Warner Bros. Espa?ola S.A. ;,DC Entertainment ;亚特拉斯娱乐公司;华纳兄弟影片公司;Lin Pictures ;Dune Entertainment ;DC Comics ;,大卫·阿耶;,Andy Horwitz ;戈夫·约翰斯;Alex Ott ;查尔斯·罗文;黛博拉·施奈德;扎克·施奈德;Richard Suckle ;科林·威尔逊;布鲁斯·富兰克;Steven Mnuchin ;
动作,2777.4,2775.410000,2015/3/12,一万年以后,2015/3/27,一万年以后,一万年以后,,北京国龙影业发行股份有限公司;,深圳一立动画影业有限公司;深圳市马荣天使投资有限公司;,易立;,
爱情,0,,,,2015/12/15,一个人的恋情,一个人的恋情,,,海莱坞影视发展有限公司;浙江海缘影视有限公司;,李建林;,
动作/悬疑/警匪/功夫/爱情,11891.7,11770.790000,2014/10/24,一个人的武林,2014/10/31,一个人的武林,一个人的武林,王宝强;杨采妮;白冰;释延能;喻亢;吴浩康;姜大卫;甄子丹;思漩;王嘉慧;黄伟辉;陈伟雄;张文杰;方中信;樊少皇;,华谊兄弟传媒股份有限公司;英皇电影发行（北京）有限公司;,华谊兄弟传媒股份有限公司;英皇电影有限公司;北京银梦影视艺术有限公司;英皇电影发行（北京）有限公司;太阳娱乐文化有限公司;北京世纪千和文化投资有限公司;,陈德森;,
喜剧/冒险,1907.1,1875.140000,2015/11/16,一个勺子,2015/11/20,一个勺子,一个勺子,王学兵;陈建斌;蒋勤勤;金世佳;,宁波枫海传媒科技股份有限公司;,北京儒意欣欣影业投资有限公司;山东嘉博文化发展有限公司;天津猫眼文化传媒有限公司;业余时间影视投资有限公司;河北玛西雅文化传播有限公司;北京蓝钻文化传媒有限公司;厦门美图网科技有限公司;中辉华尚（北京）文化传播有限公司;北京海华阳光影视文化传播有限公司;,陈建斌;,
