0.5的爱情,﻿爱情,2014/9/12,蒲巴甲;李悦铭;江语晨;龚洁;,北京帧画影视文化传播有限公司;,河北志宝文化传媒有限公司;北京上视之光影视科技有限公司;,邢潇;,,56,1,1
81号农场之疯狂的麦咭,动画,2014/10/1,,上海电影（集团）有限公司;幻克影业;,上海河马动画设计股份有限公司;湖南电视台金鹰卡通卫视;上海全土豆网络科技有限公司;,徐克;赵文杰;,,1878,1,1
9号女神,爱情,2014/1/9,周帅;冯家妹;吕星辰;,,西安一路阳光影视文化有限责任公司;陕西太和实业集团有限公司;,章明;,,5.1,1,1
B+侦探,,2013/1/10,林雪;龚蓓苾;王梓一;谭耀文;廖启智;郭富城;黄又南;谷祖琳;刘浩龙;林司敏;原丽淇;徐正曦;张兆辉;,寰宇影片发行有限公司;北京光线影业有限公司;,香港银都机构有限公司;寰宇娱乐有限公司;,彭顺;,,2502.110000,2,2
B区32号,,2013/1/4,邓紫衣;李锐;唐宸禹;,北京春秋时代文化有限公司;福建恒业影业有限公司;上海炫映影视传播有限公司;,北京春秋时代文化有限公司;福建恒业影业有限公司;,吕建民;,,1245.000000,2,2
Hello！树先生！,,2014/9/6,王宝强;何洁;谭卓;李京怡;王大治;白培将;,上海电影股份有限公司影视发行分公司;,上海电影（集团）有限公司;北京西河星汇数字娱乐技术有限公司;,韩杰;,,222.200000,2,2
Hi，高考君,剧情/喜剧,2016/8/19,王楚;倪景阳;孙松;高亚麟;郑卫莉;郭东文;董慧;张恩齐;周文;,国家新闻出版广电总局电影卫星频道节目制作中心;辽宁中影北方电影院线有限责任公司;,国家新闻出版广电总局电影卫星频道节目制作中心;电影频道节目制作中心;北京三鸿门文化传播有限公司;北京三鸿门文化有限公司;,张馨;,,31.1,1,1
HOLD住爱,,2016/2/18,周秀娜;王骁;冯丹滢;吴依琳;曾志伟;刘恺威;吴岱融;王景春;钟舒漫;,北京橙天嘉禾影视制作有限公司;广州金逸影视传媒股份有限公司;大地时代电影发行（北京）有限公司;万达影视传媒有限公司;,大地时代电影文化传播(北京)有限公司;广州金逸影视传媒股份有限公司;万达影视传媒有限公司;,张琦;,,4413.650000,2,2
U盘,喜剧,2014/1/31,董立范;唐爱国;辛凯;阿速;小么哥;田昊;魏婷婷;杨蕊;肖雨雨;颜冠英;白云;杨珑;,山东龙视天下传媒集团有限公司;,神州金马影视文化传媒;山东龙视天下传媒集团有限公司;,徐志强;,,40.5,1,1
X战警：天启,动作/科幻/冒险,2016/6/3,托马斯·雷玛奎斯;斯坦·李;柯蒂·斯密特-麦菲;卢卡斯·提尔;伊万·彼得斯;奥斯卡·伊萨克;尼古拉斯·霍尔特;奥立薇娅·玛恩;詹姆斯·麦卡沃伊;迈克尔·法斯宾德;詹妮弗·劳伦斯;索菲·特纳;泰尔·谢里丹;亚历山德拉·西普;萝丝·拜恩;本·哈迪;拉娜·孔多尔;乔什·赫尔曼;乔·科布登;,20世纪福克斯电影公司;华夏电影发行有限责任公司;Odeon ;Twentieth Century Fox C.I.S. ;Westec Media Limited ;Big Picture 2 Films ;二十世纪福斯电影公司;二十世纪福斯公司;20世纪福克斯阿根廷分公司;SF Film Finland ;Sena ;二十世纪福斯德国分公司;华纳兄弟公司;二十世纪福斯荷兰分公司;20th Century Fox de Chile ;Blitz Film & Video Distribution ;20,20世纪福克斯电影公司;TSG Entertainment ;二十世纪福斯电影公司;漫威娱乐;Donners' Company ;Bad Hat Harry Productions ;Mel's Cite du Cinema ;Kinberg Genre ;,布莱恩·辛格;,斯坦·李;布莱恩·辛格;西蒙·金伯格;劳伦·舒勒·唐纳;约翰·奥特曼;todd hallowell;josh mclaglen;kathleen mcgill;,80267.9,1,1
X战警：逆转未来,科幻/动作/冒险,2014/5/23,范冰冰;休·杰克曼;安娜·帕奎因;奥马·希;彼特·丁拉基;哈莉·贝瑞;丹尼尔·库德摩尔;拉里·戴;艾伦·佩基;卢卡斯·提尔;伊万·彼得斯;尼古拉斯·霍尔特;伊恩·麦克莱恩;詹姆斯·麦卡沃伊;波波·斯图尔特;肖恩·阿什莫;迈克尔·法斯宾德;帕特里克·斯图尔特;詹妮弗·劳伦斯;,华夏电影发行有限责任公司;,20世纪福克斯电影公司;美国漫威影业公司;,布莱恩·辛格;,,72296.8,1,1
一万年以后,动作,2015/3/27,,北京国龙影业发行股份有限公司;,深圳一立动画影业有限公司;深圳市马荣天使投资有限公司;,易立;,,2777.4,1,1
一个人的恋情,爱情,2015/12/15,,,海莱坞影视发展有限公司;浙江海缘影视有限公司;,李建林;,,0,1,1
一个人的武林,动作/悬疑/警匪/功夫/爱情,2014/10/31,王宝强;杨采妮;白冰;释延能;喻亢;吴浩康;姜大卫;甄子丹;思漩;王嘉慧;黄伟辉;陈伟雄;张文杰;方中信;樊少皇;,华谊兄弟传媒股份有限公司;英皇电影发行（北京）有限公司;,华谊兄弟传媒股份有限公司;英皇电影有限公司;北京银梦影视艺术有限公司;英皇电影发行（北京）有限公司;太阳娱乐文化有限公司;北京世纪千和文化投资有限公司;,陈德森;,,11891.7,1,1
一个勺子,喜剧/冒险,2015/11/20,王学兵;陈建斌;蒋勤勤;金世佳;,宁波枫海传媒科技股份有限公司;,北京儒意欣欣影业投资有限公司;山东嘉博文化发展有限公司;天津猫眼文化传媒有限公司;业余时间影视投资有限公司;河北玛西雅文化传播有限公司;北京蓝钻文化传媒有限公司;厦门美图网科技有限公司;中辉华尚（北京）文化传播有限公司;北京海华阳光影视文化传播有限公司;,陈建斌;,,1907.1,1,1
一个温州的女人,爱情/家庭,2014/3/7,马跃;张洪杰;石兰;朱玉雯;刘小微;张文;马翎雁;,蘭发行团队;四川卢米埃影业;温州雁荡电影院线有限公司;,北京银幕地带文化有限公司;,海达;,,92.4,1,1
一九四二,战争/灾难/历史,2012/11/29,张国立;于震;冯远征;徐帆;刘莉莉;吕中;杜淳;杨立新;陈道明;范伟;张少华;乔振宇;张涵予;柯蓝;李倩;王子文;李易祥;张国强;张默;段奕宏;田小洁;张志坚;赵屹;张晨光;苏有朋;阿德里安·布洛迪;蒂姆·罗宾斯;罗洋;羊立新;张嘉译;李雪健;,华谊兄弟传媒股份有限公司;,香港银都机构有限公司;香港寰亚电影有限公司;华谊兄弟传媒股份有限公司;英皇电影有限公司;华谊兄弟国际有限公司;湖南广播电视台;安徽广播电视台;重庆电影集团有限公司;一壹影视文化投资基金;北京电视台;上海尚世影业有限公司;,冯小刚;,,37113.6,1,1
一代宗师,动作/传记,2013/1/8,徐锦江;罗莽;赵本山;王庆祥;章子怡;小沈阳;张晋;吴云飞;周小飞;叶苑馨;袁和平;梁朝伟;梁小龙;卢海鹏;吴廷烨;张震;张智霖;宋慧乔;刘洵;尚铁龙;王珏;吉飞龙;黎烈弓;宋岱;刘家勇;,华夏电影发行有限责任公司;银都电影发行有限公司;广东雅信文化传播有限公司;,香港银都机构有限公司;美亚娱乐资讯集团有限公司;泽东电影公司;华夏电影发行有限责任公司;一壹影视文化投资基金;盛唐时代文化传播有限公司;广东雅信文化传播有限公司;时代华娱影视传媒投资有限责任公司;蓝色光标传播集团;,王家卫;,,28924.1,1,1
一代宗师3D,动作/传记,2015/1/8,徐锦江;罗莽;赵本山;王庆祥;章子怡;小沈阳;张晋;周小飞;袁和平;袁祥仁;梁朝伟;卢海鹏;吴廷烨;陈美诗;张震;金士杰;张智霖;宋慧乔;刘洵;江道海;萧炳林;黎烈弓;,华夏电影发行有限责任公司;,上海电影（集团）有限公司;香港银都机构有限公司;国家新闻出版广电总局电影卫星频道节目制作中心;泽东电影公司;华夏电影发行有限责任公司;美亚电影制作有限公司;一壹国际影视文化传媒（北京）有限公司;广东雅信文化传播有限公司;时代华娱影视传媒投资有限责任公司;西安银都电影发行有限公司;北京市广播电影电视局;北京盛唐时代文化传播有限公司;北京蓝色光标品牌管理顾问股份有限公司;,王家卫;,,6289.8,1,1
一切都好,喜剧,2016/1/1,张国立;贾樟柯;范伟;张一白;姚晨;张歆艺;张译;王千源;陈赫;周冬雨;叶一云;邬君梅;窦骁;,天津联瑞影业有限公司;北京金盛信马影视文化有限公司;,安乐（北京）电影发行有限公司;北京微影时代科技有限公司;天津联瑞影业有限公司;天津突燃文化传媒有限公司;北京金盛信马影视文化有限公司;北京华谊兄弟创星娱乐科技股份有限公司;大河影业扬州有限公司;天津天马映像影业有限公司;海南金盛信马影视文化有限公司;上海乐不思蜀影视有限公司;中国电影股份有限公司;幸福蓝海影视文化集团股份有限公司;,张猛;,,2623.7,1,1
一刻十年,爱情,2015/11/24,于朦胧;顾靖;谢彬彬;李政宇;李梧楠;冯璧晴;马颖杰;张洋;,春秋永乐影视文化投资（北京）有限公司;上海仁惠文化传播有限公司;,上海仁惠文化传播有限公司;华美星光文化艺术（北京）有限公司;,戎川;,,11.7,1,1
一号目标,动作/悬疑/剧情,2014/5/23,刘小锋;蒋勤勤;果静林;孙茜;张瑶;翟万臣;刘欢;薛山;张晨光;孙维民;黄薇;,上海鼎石影视制作有限公司;江苏东方影视文化传播有限公司;,江苏幸福蓝海影业有限责任公司;南京市文化投资控股（集团）有限责任公司;南京毅刚文化传媒有限公司;南京启联科技有限公司;中共南京市委宣传部;江苏省文学艺术界联合会;南京加一点净化保健科技有限公司;江苏省广播电影电视局;,翟俊杰;翟小兴;,,205,1,1
一场风花雪月的事,爱情/动作/警匪,2013/8/8,黄晓明;巍子;杨颖;苏青;在熙;,上海银润传媒广告有限公司;,国家新闻出版广电总局电影卫星频道节目制作中心;联能传媒有限公司;烟台市广播电视台;上海银润传媒广告有限公司;广州星慕文化发展机构;青岛锦绣前程房地产开发有限公司;北京泰耀文化工作室;,高群书;,,2276.3,1,1
一夜危机,爱情/喜剧,2016/3/25,陈观泰;姜超;刘永健;萧浩冉;夏云飞;刘玉婷;徐熙遥;,神画制作有限公司;焦作晶彩电影制作有限公司;吉林映代码电影制作有限公司;,北京夏云飞国际影视文化有限公司;映代码（北京）文化传媒有限公司;南天艺合(北京)文化传播有限公司;,苗述;,,6.9,1,1
一夜惊喜,爱情/喜剧,2013/8/9,黎明;范冰冰;徐峥;倪虹洁;蒋劲夫;刘维;赵铭;张歆莹;黄一飞;吴佩慈;李治廷;丹尼尔·海尼;彭杨;,寰亚电影发行（北京）有限公司;北京联瑞影业有限公司;,香港寰亚电影有限公司;华夏视听环球传媒（北京）有限公司;萌影画（北京）文化传播有限公司;,金依萌;,,17250.5,1,1
一夜成名,,2013/1/8,刘桦;田娃;王思懿;维塔斯;苏珊·鲍尔;卡门·玛索拉;董美祎;黄圣依;,龙腾艺都（北京）影业投资有限公司;,金润集团;北京龙子鉴影视文化有限公司;,石磊;,,144.900000,2,2
一家老小向前冲,喜剧,2016/1/22,柳岩;杜海涛;彭宇;王湘平;李小嘉;岳菁蔚;宋哲民;王永光;杨珊珊;宋谷;,北京基点影视文化传媒有限公司;,世纪百年影业（天津）有限公司;湖南广播电视台经视频道;北京万象传媒广告有限公司;果实戏剧工作室;,李平;,,238.3,1,1
一座城池,喜剧/青春,2013/9/18,谢芳;房祖名;王太利;杨地;黄瀞怡;李长江;小薰;,北京剧角映画文化传媒有限公司;,北京泰丰懿影视文化有限公司;北京惠景文化发展有限公司;北京中视广电经信影视文化中心;苏州影像巨魔影视投资管理有限公司;,孙渤涵;,,688,1,1
一念天堂,喜剧,2015/12/31,马丽;沈腾;王子子;杜晓宇;,珠江影业传媒股份有限公司;,北京天河盛宴国际文化传媒有限公司;凯德盛世（北京）投资管理有限公司;和云筹（北京）网络科技有限公司;,张承;,,8268.4,1,1
一条叫王子的狗,,2016/9/15,钟佳琪;王子;鲍起静;罗兰;那威;,华海光影北京国际影视文化传媒有限公司;,雪之梦（北京）影业有限公司;北京强强盛世文化发展有限公司;,杨健武;,,70.440000,2,1
一棵心中的许愿树,剧情/爱情,2016/8/19,刘香萍;贝安琪;邱伟棠;刘慕贞;周聪玲;陶明莺;黄敏德;戴伊杨;马斯·施特默;黎萱;萨宾·塔布瑞亚;露丝玛莉;标金宝;瑟琳·桑德斯卓姆;弗洛里安·克莱德;安东尼·桑德斯卓姆;刘福明;张月娥;吴嘉龙;米雪;洪天明;丹尼斯·凯勒;奥黛丽·兰德斯;尹子维;蒋雯丽;高志森;,广东大地电影院线有限公司;北京卓然影业有限公司;上海泰时广告有限公司;中国电影集团公司;中国电影股份有限公司;,香港沙龙电影有限公司;刘氏国际影业有限公司;,刘香萍;,刘香萍;,3.8,1,1
一步之城,,2014/12/17,惠英红;王伟华;,,北京玲珑青文化传播有限公司;,李思易;,,0.860000,2,2
一步之遥,喜剧/歌舞/爱情,2014/12/18,牛犇;葛优;王志文;姜文;文章;周韵;刘索拉;洪晃;那英;舒淇;刘利年;,北京不亦乐乎电影文化发展有限公司;五洲电影发行有限公司;东阳一步到位影视有限公司;无锡旗开得胜影视有限公司;大众点评网;万达影视传媒有限公司;,上海电影（集团）有限公司;哥伦比亚电影制作（亚洲）有限公司;英皇电影有限公司;北京不亦乐乎电影文化发展有限公司;东阳一步到位影视有限公司;无锡旗开得胜影视有限公司;万达影视传媒有限公司;,姜文;,,51494.6,1,1
一生一世,爱情,2014/9/5,高圆圆;谢霆锋;,大地时代电影文化传播(北京)有限公司;英皇电影发行（北京）有限公司;万达影视传媒有限公司;,大地时代电影文化传播(北京)有限公司;浙江金球影业有限公司;欢瑞世纪影视传媒股份有限公司;英皇（北京）文化发展有限公司;浙江蓝天下影视传媒有限公司;北京大千润彩文化发展有限公司;万达影视传媒有限公司;,邹佡;,,22852.5,1,1
一触即发,动作/惊悚,2014/1/17,保罗·布莱克威尔;科鲁姆·费奥瑞;凯文·科斯特纳;李·尼古拉斯·哈里斯;侬索·阿诺斯;吉姆·甘特;大卫·佩默;肯尼思·布拉纳;埃迪·鲁本;克里斯·派恩;路易斯·詹姆斯;蒙特哥·格罗乌尔;汉娜·泰勒-高登;嘉玛·陈;凯拉·奈特莉;丹尼斯·科洛斯克;李·阿斯奎斯-科;凯伦·戴维;帕克·索耶;,华夏电影发行有限责任公司;,派拉蒙影业公司;,肯尼思·布拉纳;,,16064.6,1,1
一诺·千金,剧情/农村,2015/10/1,倪虹洁;赵立新;仇小豹;山翀;,四川重向广告传媒有限公司;,北京橙润影视文化有限公司;,温钧凯;,,0,1,1
一路向前,爱情/喜剧,2015/8/6,陈赫;赵奕欢;常远;姚星彤;张颂文;张佑赫;陆海涛;,北京创世星国际影视文化有限公司;北京帧画面影视文化传播有限公司;春秋永乐影视文化投资（北京）有限公司;,北京凯视芳华文化传播有限公司;北京光耀天润广告有限公司;天津博德世纪影视传媒有限公司;深圳市华影投资有限公司;,侯亮;,,570.9,1,1
一路惊喜,爱情,2015/2/6,巩汉林;蒋劲夫;萧敬腾;凤小岳;郭采洁;,万达影视传媒有限公司;,香港寰亚电影有限公司;萌影画（北京）文化传播有限公司;五洲电影发行有限公司;北京华盖映月影视文化投资管理有限公司;浙江宇佑影视传媒有限公司;万达影视传媒有限公司;,金依萌;章家瑞;潘安子;宋迪;,,6972.1,1,1
一路狂奔,喜剧,2013/5/24,刘桦;李梦男;吴京安;孙宁;何炅;谢娜;杜海涛;巴多;安琥;吴昕;王晴;孙楠;罗中旭;潘斌龙;郭晨冬;汪清;吴新;杨少华;梁天;,华夏电影发行有限责任公司;珠江电影集团有限公司;,北京果然影视文化有限公司;广州星型美影视制作有限公司;浙江华彰文化策划有限公司;广州市肯特人影视制作传播有限公司;,王钧;,,588.1,1,1
一路顺疯,喜剧,2013/9/29,刘桦;陈思诚;刘芸;黄小蕾;包贝尔;蒋梦婕;鲍起静;李欣汝;,新华展望传媒有限公司;,新华展望传媒有限公司;上海青曦文化传播有限公司;,叶伟民;,,1425,1,1
七品知县进道观（豫剧）,剧情/戏曲,2015/7/31,,,北京九州同映数字电影院线有限公司;,,,0,1,1
七彩田野,剧情/农村,2014/7/22,冷雪松;,,辽源关东盛京文化产业有限公司;,朱嘉欣;,,504.2,1,1
七月与安生,,2016/9/14,周冬雨;马思纯;李程彬;,华夏电影发行有限责任公司;我们亚博思电影发行（北京）有限公司;北京嘉映影业有限公司;三月谷雨（北京）文化传媒有限公司;极客影业（上海）有限公司;,阿里巴巴影业集团有限公司;我们制作有限公司;我们亚博思电影发行（北京）有限公司;上海极客文化传播有限公司;北京嘉映影业有限公司;上海尚世影业有限公司;极客影业（上海）有限公司;霍尔果斯嘉美影业有限公司;天恩娱乐有限公司;亚博思文化传媒（北京）有限公司;smg尚视影业;,曾国祥;,陈可辛;陈乐;许月珍;,16162.860000,2,1
七月半2：前世今生,惊悚/恐怖,2016/8/19,罗翔;陈美行;翟子陌;王良;张力飞;曾漪莲;赵吉;苗青;夏星翎;常奕然;付曼;,北京基点影视文化传媒有限公司;,北京中影传奇影视文化传媒有限公司;北京古舍国际文化有限公司;北京中影传奇影业;上海君画文化传播有限公司;宁夏金拓路文化传媒有限公司;北京中驰映象投资基金管理有限公司;北京翰林华哲文化传媒有限公司;云海济（北京）文化传播有限公司;,李红建;,刘鸿;,707.1,1,1
七月半之恐怖宿舍,惊悚/恐怖,2015/8/14,余心恬;付曼;翟子陌;彭骞;徐歉;孔铭;梁立文;戴子翔;马元;,北京基点影视文化传媒有限公司;,北京中影传奇影视文化传媒有限公司;北京天泽映画影视文化有限公司;浙江永康冬青影业有限公司;北京古舍国际文化有限公司;,杜潇傲;刘鸿;,,1228.2,1,1
万万没想到,喜剧/古装/冒险,2015/12/18,佟丽娅;马天宇;乔任梁;赵英俊;杨子姗;白客;贾玲;孔连顺;张本煜;至尊玉;郑合惠子;赵文杰;曾志伟;陈柏霖;王玲玉;胡洁琼;葛布;柯达;范晓东;陈烨林;刘循子墨;叫兽易小星;Mike D.Angelo Pirat Nitipaisalkul ;赵文瑄;,,合一影业有限公司;杭州果麦文化传媒有限公司;上海三次元影视传媒有限公司;合一信息技术（北京）有限公司;天津猫眼文化传媒有限公司;北京万合天宜影视文化有限公司;上海亭东影业有限公司;华人文化控股有限公司;,叫兽易小星;,,32232.2,1,1
万有引力,,2013/11/19,郭涛;文章;张静初;车永莉;白百何;段博文;莫文蔚;戴立忍;黄幻;,大地时代电影文化传播(北京)有限公司;天使之翼（北京）影视投资有限公司;,大地时代电影文化传播(北京)有限公司;香港大地娱乐有限公司;天使之翼（北京）影视投资有限公司;,赵天宇;,,435.010000,2,2
万物生长,爱情/青春,2015/4/17,范冰冰;韩庚;李梦;吕行;杨迪;吴莫愁;张博宇;赵一维;齐溪;雷格生;沈婷婷;,北京劳雷影业有限公司;北京联瑞影业有限公司;杭州果麦文化传媒有限公司;上海格瓦商务信息咨询有限公司;,合一影业有限公司;阿里巴巴（杭州）文化创意有限公司;北京劳雷影业有限公司;北京联瑞影业有限公司;杭州果麦文化传媒有限公司;上海格瓦商务信息咨询有限公司;北京新京报传媒有限责任公司;杭州传陞文化投资管理有限公司;北电五度（北京）影视投资管理有限公司;网易电影;,李玉;,,14831.8,1,1
万箭穿心,爱情,2012/11/16,颜丙燕;赵倩;焦刚;,湖北银兴院线影业有限责任公司;武汉天河影业有限公司;,北京电影学院青年电影制片厂;国家新闻出版广电总局电影卫星频道节目制作中心;北京今典影业有限公司;,王竞;,,265,1,1
三个孬家伙,喜剧/剧情,2016/9/23,刘桦;朱博;来喜;于非;,北京瑞博阳光文化传播有限公司;,河南弘星影视传媒有限公司;弘星（北京）数字传媒有限公司;河南独立文化传播有限公司;,李春啸;,,3.2,1,1
三个未婚妈妈,,2013/9/8,奚美娟;佟大为;黄奕;胡可;黄磊;文章;陶玉玲;车永莉;秦怡;陆川;陈国星;周小斌;祝希娟;居文沛;爱新觉罗·启星;顾永菲;郑毓芝;苏有朋;王海燕;管乐;斯琴高娃;张嘉译;马伊琍;,中影星美电影院线有限公司;,国家新闻出版广电总局电影卫星频道节目制作中心;中影星美电影院线有限公司;江苏星海影视文化发展有限公司;中国广播艺术团;,江平;,,474.770000,2,2
