0.5的爱情,﻿爱情,2014/9/12,蒲巴甲;李悦铭;江语晨;龚洁;,北京帧画影视文化传播有限公司;,河北志宝文化传媒有限公司;北京上视之光影视科技有限公司;,邢潇;,,56,1,1
八星抱喜,,2013/1/7,林雪;李香琴;黎彼得;熊黛林;翟凯泰;龚琳娜;黄百鸣;吴君如;谷德昭;古天乐;杜汶泽;邹凯光;郑中基;田蕊妮;曾华倩;卓韵芝;夏春秋;刘浩龙;冯勉恒;李曼筠;杜丽莎;林司敏;应采儿;甄子丹;刘子千;叶山豪;卢觅雪;李尚正;麦玲玲;黄玉郎;吴千语;徐天佑;张继聪;冯志强;陈慧琳;c君;,乐视影业（北京）有限公司;,尚品电影有限公司;乐视影业（北京）有限公司;香港天马电影出品有限公司;天马影联影视文化（北京）有限公司;上海合禾影视投资有限公司;,陈庆嘉;秦小珍;,,8614.070000,2,2
公主的诱惑,爱情/青春/喜剧,2013/10/25,夏凡;赵柯;田亮;赵荣;谢君豪;魏骏杰;黄又南;邓丽欣;苏永康;徐杉;宋汶霏;叶静;,上海凯羿影视传播有限公司;,福建恒业影业有限公司;上海凯羿影视传播有限公司;北京海润影业有限公司;福建西岸传媒发展有限公司;北京连亚方舟影视娱乐有限公司;,黄肖英;,,161.7,1,1
公路美人,爱情,2015/4/3,于荣光;喻恩泰;宋宁;张念骅;齐溪;韩东;德布加达;中童西;尕让卓玛;,华夏电影发行有限责任公司;,华夏电影发行有限责任公司;形创幻维（北京）文化传播有限公司;,非可;周看;尼克·鲍威尔;,,9.9,1,1
六弄咖啡馆,爱情/青春,2016/7/29,董子健;黄子佼;颜卓灵;宋伊人;林柏宏;欧阳妮妮;张榕容;,上海格瓦商务信息咨询有限公司;北京世纪华映文化传媒有限公司;百度在线网络技术（北京）有限公司;,华视影视投资（北京）有限公司;北京百度糯米信息技术有限公司;深圳善为影业股份有限公司;天津华谊兄弟卖座网电影发行有限公司;浙江自在影业有限公司;北京世纪华映文化传媒有限公司;好好影业中国有限公司;创意光年有限公司;北京好好影业有限公司;光环影业有限公司;华橙影业(北京)有限公司;,吴子云;藤井树;,刘杰;赵毅;庄淳淳;王琛;,654.4,1,1
六福喜事,爱情/喜剧,2014/1/11,方力申;于波;董成鹏;熊黛林;黄百鸣;吴君如;曾志伟;谷德昭;张达明;古天乐;李璨琛;郑中基;杨千嬅;薛凯琪;吴千语;林峯;,乐视影业（北京）有限公司;,乐视影业（北京）有限公司;香港天马电影出品有限公司;,谷德昭;,,8090.9,1,1
兰亭,爱情/战争,2014/3/8,吴娜;林一航;应岳飞;丁霖焘;凌霄;段凤娇;大江;,杭州诗情画意文化传媒有限公司;北京卢米埃时代电影院线有限公司;,杭州诗情画意文化传媒有限公司;,肖风;,,236.5,1,1
关云长,,2013/10/14,聂远;王学兵;钱小豪;邵兵;董勇;姜文;李宗翰;黑子;孙俪;赵柯;余皑磊;王柏杰;甄子丹;安志杰;陈红;邓凯匀;方中信;,上海电影股份有限公司影视发行分公司;蘭发行团队;台湾龙祥娱乐多媒体股份有限公司;星汇天姬（北京）电影投资有限公司;Easternlight Films ;,上海电影（集团）有限公司;星汇天姬（北京）电影投资有限公司;东阳腾远影视传媒有限公司;安徽广电传媒产业集团有限责任公司;绍兴盛夏影视文化投资有限公司;深圳智尚影视投资有限公司;,麦兆辉;庄文强;,,13382.280000,2,2
再次出发,喜剧/爱情/音乐,2015/6/26,马克·鲁法洛;席洛·格林;凯拉·奈特莉;茅斯·达夫;凯瑟琳·基纳;克里斯·努内兹;罗伯·莫洛;曼迪·科尔曼;詹姆斯·柯登;亚当·李维;海莉·斯坦菲尔德;希娜·柯莱特;凯伦·皮特曼;乔·凯恩;菲利普·奥唐戈;,Ascot Elite Entertainment Group ;华夏电影发行有限责任公司;韦恩斯坦公司;Pancinema ;Front Row Filmed Entertainment ;,Exclusive Media Group ;Sycamore Pictures ;,约翰·卡尼;,,2027.1,1,1
再爱一次好不好,爱情/喜剧,2014/4/11,贺刚;刘冬;赵露;刘韦伯;,,共青团中央网络影视中心;中舜影业有限公司;北京果然精彩文化传媒有限公司;,张长征;,,76.3,1,1
再生之乐,剧情/喜剧,2016/7/9,李彦;李佳淇;陈昊明;闫霖飞;董娉;,河北波仔文化传播有限公司;,重庆电影集团有限公司;重庆市久来文化传媒有限公司;,谢政辉;,,30.1,1,1
再见巨人,剧情,2014/8/15,那广子;方伟杰;,星美(北京)影业有限公司;,星美(北京)影业有限公司;CLOVER FILMS PTE. LTD ;G & J CREATION PRIVATE LIMITED ;四叶草电影有限公司;雄厚创作室;,郑斌辉;,,1.8,1,1
再见我们的十年,爱情/喜剧,2015/6/12,刘芸;郭家铭;潘霜霜;王啸坤;黄柏钧;隋凯;杨爱瑾;李雅男;,禾木恩泽文化传媒(北京）有限公司;,禾木恩泽文化传媒(北京）有限公司;北京时代影响力影视文化有限公司;优美力创（北京）文化传媒有限公司;北京柒影文化传媒有限公司;上海汀澜生物科技有限公司;,,,535.2,1,1
再见，在也不见,爱情/剧情/同性,2016/5/13,秦沛;陈柏霖;杨祐宁;蒋雯丽;小茶;,北京聚合影联文化传媒有限公司;,广西电影集团有限公司;天昌投资集团;新影响文化投资集团;广西天昌投资有限公司;长景路电影工作室;Giraffe Pictures ;,忻钰坤;陈世杰;西瓦罗·孔萨库;,陈哲艺;,1147.9,1,1
军号密码,战争,2015/12/31,黄天崎;马嘉铭;王陈怡娴;,,江苏荣耀文化教育有限公司;,许晨;曹利民;,,0,1,1
冬,剧情,2014/5/14,王德顺;黄嵩博;王诗雯淇;,环球联影影视文化（北京）有限公司;,百思诚文化传媒（北京）有限公司;重庆电影集团有限公司;北京艺杰映画文化传媒有限公司;重庆银美影业传媒有限公司;辉煌连线（北京）国际文化传媒有限公司;重庆美电传媒有限公司;北京嘉瀚影视文化传播有限公司;,邢健;,,3.1,1,1
冬,剧情,2016/6/19,王德顺;黄嵩博;王诗雯淇;,环球联影影视文化（北京）有限公司;,百思诚文化传媒（北京）有限公司;重庆电影集团有限公司;北京艺杰映画文化传媒有限公司;重庆银美影业传媒有限公司;辉煌连线（北京）国际文化传媒有限公司;重庆美电传媒有限公司;北京嘉瀚影视文化传播有限公司;,邢健;,,30,1,1
冰封：重生之门,动作/科幻/喜剧,2014/4/25,林雪;王宝强;张少华;喻亢;任达华;卢海鹏;陈浩民;王宗尧;甄子丹;庄思敏;黄圣依;,乐视影业（北京）有限公司;国盛影业（北京）有限公司;,国家新闻出版广电总局电影卫星频道节目制作中心;乐视影业（北京）有限公司;北京麦特文化发展有限公司;中盟世纪（北京）传媒有限公司;宇际星海传媒;国盛影业（北京）有限公司;中盟世纪（北京）投资有限公司;北京时代先锋影艺投资有限公司;青岛凤凰影视传媒;,罗永昌;,,14269.6,1,1
冰川时代4：大陆漂移,,2014/10/13,约翰·雷吉扎莫;柯柯·帕尔莫;彼特·丁拉基;尼克·弗罗斯特;乔什·盖德;阿兹·安萨里;克里斯·韦奇;西恩·威廉·斯科特;奎恩·拉提法;旺达·塞克丝;阿兰·夏巴;詹妮弗·洛佩兹;丹尼斯·利瑞;雷·罗马诺;乔希·佩克;艾伦·图代克;,20th Century Fox ;20th Century Fox Home Entertainment ;Twentieth Century Fox C.I.S. ;Forumcinemas ;,蓝天工作室;,史蒂夫·马蒂诺;,,44709.700000,2,2
冰川时代5：星际碰撞,,2016/8/23,马丽;常远;沈腾;雷·罗马诺;丹尼斯·利瑞;约翰·雷吉扎莫;柯柯·帕尔莫;克里斯·韦奇;奎恩·拉提法;詹妮弗·洛佩兹;亚当·德维恩;马克思·格林菲尔德;jessie j;杰西·泰勒·弗格森;西蒙·佩吉;西恩·威廉·斯科特;婕西·j;梅丽莎·劳奇;迈克·斯特拉恩;旺达·塞克丝;尼克·奥弗曼;奈尔·德葛拉司·泰森;乔希·佩克;,InterCom ;二十世纪福斯电影公司;二十世纪福斯公司;20世纪福克斯阿根廷分公司;SF Film Finland ;二十世纪福斯德国分公司;华纳兄弟公司;二十世纪福斯荷兰分公司;20世纪福斯公司;20世纪福克斯挪威分公司;中国电影集团公司;,蓝天工作室;20th Century Fox Animation ;20世纪福斯家庭娱乐电影公司;,盖伦t·楚;麦克·特米尔;,lori forte;卡洛斯·沙尔丹哈;克里斯·韦奇;,44554.410000,2,2
冰川时代：星际碰撞,,2016/8/23,约翰·雷吉扎莫;柯柯·帕尔莫;丹尼斯·利瑞;雷·罗马诺;,InterCom ;二十世纪福斯电影公司;二十世纪福斯公司;20世纪福克斯阿根廷分公司;SF Film Finland ;二十世纪福斯德国分公司;华纳兄弟公司;二十世纪福斯荷兰分公司;20世纪福斯公司;20世纪福克斯挪威分公司;,蓝天工作室;20th Century Fox Animation ;,盖伦t·楚;麦克·特米尔;,克里斯·韦奇;卡洛斯·沙尔丹哈;Lori Forte ;,42461.26,1,1
冰川时代：融冰之灾,动画/动作/冒险,2014/10/13,黄磊;约翰·雷吉扎莫;威尔·阿奈特;劳拉·马兰洛;保罗·布切;德比·戴瑞巴里;杰·雷诺;克里斯·韦奇;卡洛斯·沙尔丹哈;丹尼·曼;扎克·沙达;西恩·威廉·斯科特;奎恩·拉提法;詹森·潘妮蒂尔;布莱恩·麦克法登;罗杰·布帕斯;杰克·安琪;比尔·法默;米凯·麦高万;黄忆慈;彼得·德塞弗;丹尼斯·利瑞;雷·罗马诺;杰斯·哈梅尔;阿芮尔·温特;乔希·佩克;斯蒂芬·鲁特;艾伦·图代克;,,蓝天工作室;20th Century Fox Animation ;,卡洛斯·沙尔丹哈;,,4416.4,1,1
冰河追凶,动作/悬疑/犯罪,2016/4/15,佟大为;邓家佳;周冬雨;曹卫宇;魏晨;梁家辉;,华夏电影发行有限责任公司;引力影视投资有限公司;深圳善为影业股份有限公司;东阳天天尚映影业有限公司;天天尚映影业有限公司;北京佟悦名新文化传媒有限公司;,长影集团有限责任公司;北京宸铭影视文化传媒有限公司;引力影视投资有限公司;福星全亚文化传媒（上海）有限公司;上海乐在其中影视传播有限公司;北京瑞格嘉尚文化传播有限公司;爱奇艺影业（北京）有限公司;北京佟悦名新文化传媒有限公司;嘉铭影业;江苏朱瓷影业有限公司;上海尚世影业有限公司;,徐伟;,张一白;,4320,1,1
冰美人,爱情/冒险,2016/1/8,赵慧仙;喜莲娜;维纳格拉多娃·卡捷琳娜;安德烈·拉扎列夫;,北京金亿乾坤影视文化传媒有限公司;北京中博巨石文化传媒有限公司;中国电影集团公司;,北京金亿乾坤影视文化传媒有限公司;东北亚(肇东)文化创意有限公司;莫斯科亚历山大利特维诺夫影视制片公司;东方金鹏（北京）文化传媒有限公司;肇岳山(肇东)影视文化传媒有限公司;中国电影集团公司;,弗拉基米尔·缅绍夫;,,5.3,1,1
冰雪11天,灾难/抢险,2012/11/1,冯远征;黄奕;刘桦;柳岩;郭家铭;,,,陈国星;王小列;,,958.9,1,1
冰雪奇缘,动画,2014/2/5,克里斯汀·贝尔;乔什·盖德;圣蒂诺·方塔纳;克里斯·威廉姆斯;伊迪娜·门泽尔;乔纳森·格罗夫;艾伦·图代克;,华夏电影发行有限责任公司;,华特·迪斯尼影片公司;,珍妮弗·李;克里斯·巴克;,,29830.8,1,1
冲上云霄,爱情,2015/2/19,廖京生;朱璇;刘俊孝;吴镇宇;古天乐;佘诗曼;马国明;江美仪;恭硕良;张智霖;郑秀文;马鑫;郭采洁;,北京光线影业有限公司;寰亚电影发行（北京）有限公司;,香港寰亚电影有限公司;邵氏兄弟（香港）有限公司;中影寰亚音像制品有限公司;北京光线影业有限公司;寰亚电影发行（北京）有限公司;天下一电影制作有限公司;邵氏影城香港有限公司;,邹凯光;叶伟信;,,15629.6,1,1
冲锋号,动画,2013/5/24,,,西安曲江宏梦卡通影视文化传播有限公司;湖南蓝猫动漫传媒有限公司;,贺梦凡;,,110.1,1,1
冲锋战警,动作/犯罪,2013/11/1,林雪;牛萌萌;王紫逸;任达华;卢惠光;李璨琛;邵美琪;卢海鹏;李曼筠;陈静仪;王思雅;张兆辉;,星光联盟文化发展（北京）有限公司;,星光联盟文化发展（北京）有限公司;北京溢通导明文化传播有限公司;影视点制作有限公司;,罗守耀;,,491.6,1,1
冲锋车,动作/犯罪,2015/4/3,高捷;庄洁梦;任达华;吴镇宇;邵音音;谭耀文;郑浩南;麦兆辉;庄文强;古巨基;纪焕博;胡耀辉;思漩;张豫玥;姜皓文;罗永昌;,北京聚合影联文化传媒有限公司;英皇电影发行（北京）有限公司;大地时代电影发行（北京）有限公司;,香港银都机构有限公司;英皇电影有限公司;华策影业（天津）有限公司;爱奇艺影业（北京）有限公司;,刘浩良;,,2091.8,1,1
决不饶恕,剧情/反腐,2016/3/15,巫刚;刘斌;节冰;罗筐;,国影宣文化传媒（北京）有限公司;中国电影集团公司;,国影宣文化传媒（北京）有限公司;北京恒元影视文化传媒有限公司;中网宣（北京）文化传媒有限公司;聊城市委宣传部;中国行为法学会廉政行为研究会;,孙铁;,,7.7,1,1
冷瞳,惊悚/悬疑,2013/10/31,周秀娜;刘羽琦;张诗絮;李璨琛;黄又南;刘锡明;洪天照;孙祖杨;,福建恒业影业有限公司;,福建恒业影业有限公司;北京力乙山文化传媒有限公司;合肥橙空文化传播有限公司;,蒋国权;王柯;,,285.4,1,1
凡人烦恼,喜剧/悬疑,2014/12/16,彭波;黄一飞;王双宝;王迎奇;董丽范;李添诺;,北京中外世纪影视文化传播有限公司;,北京名雅飞天影视文化传播有限公司;,雷金克;,,2.8,1,1
凤凰台,剧情,2014/11/4,唐唐;李宗怿;张语庭;李孟明;王虹博;曾瑀馨;卜小贵;宋可兼;顾海;,北京中影元申影业有限公司;北京豺瑞文化发展有限公司;,贵州人尹文化传媒有限公司;欣欣然（北京）文化传媒有限公司;,闫然;,,2.1,1,1
凤凰谷,,2016/9/23,李虹影;博弘;董含露;盖玺;王珊;王璐;黄一飞;夏嘉伟;,北京猎海影视有限公司;中国电影集团公司;,北京猎海影视有限公司;云南省曲靖市百灵影视有限公司;,康与江;,,12.210000,2,1
凶间雪山,惊悚/冒险,2012/12/21,邓紫衣;吴卓羲;邓丽欣;孙祖杨;唐宸禹;,福建恒业影业有限公司;,北京春秋时代文化有限公司;福建恒业影业有限公司;上海凯羿影视传播有限公司;北京华艺乐彰影视投资管理有限公司;,周耀武;,,754.8,1,1
击战,,2016/9/16,乔欣;王景春;王森;鲍春来;刘小光;李彩桦;,北京奇天大地影视文化传播有限公司;北京奇天大地影视文化传播有限公司影视;,北京灏鑫上元影视文化传媒有限公司;上海竺灿文化投资有限公司;,闫旭升;,李子豪;季炜铭;王小帅;,84.190000,2,1
分手不分手,爱情,2015/5/8,于佳;李胜阳;黄君君;应媛;金洛伊;刘秋实;董成;张天野;,华夏电影发行有限责任公司;北京汇铭鸿嘉影视文化发展有限公司;,小马时代（北京）文化传媒有限公司;,杨小欣;,,18.1,1,1
分手再说我爱你,爱情,2015/12/24,方力申;李丽珍;唐宁;邓丽欣;石修;陈秀珠;恭硕良;林盛斌;邵仲衡;蔡洁;张继聪;王梓轩;陈嘉宝;姜丽文;,爱奇艺影业（北京）有限公司;,太阳娱乐文化有限公司;爱奇艺影业（北京）有限公司;热烈工作室有限公司;,叶念琛;,,1276.1,1,1
分手合约,爱情,2013/4/12,白百何;林美秀;赵英俊;蒋劲夫;吴佩慈;彭于晏;兰玉珍;,,韩国希杰娱乐株式会社;北京文传世纪国际广告有限公司;北京宸铭影视文化传媒有限公司;北京世纪乐成文化传媒有限公司;,吴基桓;,,19284.8,1,1
分手大师,喜剧/爱情,2014/6/27,吴京;邓超;柳岩;孙俪;刘园园;谢楠;韩寒;纪姿含;金星;赵曼竹;秦越;曹可凡;梁超;栾元晖;古力娜扎;,北京光线影业有限公司;,橙子映像;,邓超;俞白眉;,,66544.9,1,1
分手木马计,爱情/喜剧,2014/11/29,王一;,北京帧画面影视文化传播有限公司;重庆蓝海世纪影业有限公司;,深圳迅雷网络技术有限公司;重庆蓝海世纪影业有限公司;,胡艺川;,,7.8,1,1
分手达人,爱情/喜剧,2014/6/6,高捷;李琳;罗海琼;林鹏;九孔;黄子佼;林欣汝;邰正宵;范逸臣;刘承俊;陈宣裕;李欣汝;周蕙;曹涤非;,北京安石纳影文化有限公司;,北京龙苑堂文化艺术有限公司;北京乾坤星光文化传播有限公司;,张自立;,,441.6,1,1
分歧者2：绝地反击,动作/爱情/科幻/冒险,2015/6/19,李美琪;娜奥米·沃茨;苏琪·沃特豪斯;迈尔斯·特勒;奥克塔维亚·斯宾瑟;凯特·温丝莱特;雷·史蒂文森;安塞尔·埃尔格特;艾什莉·贾德;乔尼·维斯顿;杰·科特尼;佐伊·克拉维兹;本·劳埃德-休斯;提奥·詹姆斯;托尼·戈德温;贾斯婷·瓦希伯格;本·兰博;史蒂夫·沃伦;梅奇·费法;珍妮·麦克蒂尔;谢琳·伍德蕾;丹尼尔·金;纳尔逊·波尼拉;沃尔特·哈德里克斯;,SND ;华夏电影发行有限责任公司;Alfa Films ;Golden Village Pictures ;Leeding Media ;,顶峰娱乐公司;,罗伯特·斯文克;,,11013.6,1,1
分歧者3：忠诚世界,科幻/动作/冒险/悬疑,2016/5/20,李美琪;娜奥米·沃茨;迈尔斯·特勒;山德·贝克利;奥图姆·黛尔;安塞尔·埃尔格特;乔尼·维斯顿;佐伊·克拉维兹;提奥·詹姆斯;比尔·斯卡斯加德;谢琳·伍德蕾;杰夫·丹尼尔斯;迈克·比斯利;德韦恩·博伊德;,Independent Films ;Nordisk Film ;Ascot Elite Entertainment Group ;SND ;Alfa Films ;Belga Films ;Pioneer Films ;Odeon ;Golden Village Pictures ;Leeding Media ;Mongkol Major ;Pris Audiovisuais ;Concorde Filmverleih GmbH ;bf Distribution ;Joyncontents Group ,狮门影业公司;顶峰娱乐公司;Red Wagon Productions ;Soho VFX ;Animal Logic ;Red Wagon Entertainment ;狮门影业;顶峰娱乐;,罗伯特·斯文克;,尼尔·博格;pouya shabazian;露西·费舍尔;道格拉斯·维克;大卫·郝伯曼;托德·雷博曼;barry h. waldman;,12206.3,1,1
分歧者：异类觉醒,动作/爱情/冒险/科幻,2014/9/8,李美琪;迈尔斯·特勒;凯特·温丝莱特;雷·史蒂文森;安塞尔·埃尔格特;艾什莉·贾德;杰·科特尼;佐伊·克拉维兹;克里斯蒂安·马德森;本·劳埃德-休斯;提奥·詹姆斯;托尼·戈德温;贾斯婷·瓦希伯格;本·兰博;梅奇·费法;维罗尼卡·罗斯;谢琳·伍德蕾;丹·莱瑟姆;玛洛丽·汤普森;内森·盖斯特;艾米·c·纽伯德;,,顶峰娱乐公司;,尼尔·博格;,,7677.9,1,1
刑警兄弟,喜剧,2016/4/22,曾志伟;冯淬帆;陈小春;林家栋;汤盈盈;方皓玟;金燕玲;林盛斌;余安安;徐子珊;金刚;黄宗泽;,华策影业（天津）有限公司;,香港银都机构有限公司;香港电视广播有限公司;华策影业（天津）有限公司;邵氏影城香港有限公司;银都机构有限公司;邵氏影城有限公司;广州连乐文化传播有限公司;汇骏娱乐有限公司;北京源石影视文化有限公司;北京源石影视文化有限公;,戚家基;,曾志伟;钱嘉乐;彭立威;,3025.4,1,1
刘老庄八十二壮士,战争,2013/3/22,赵毅;杨晶;白雨;刘鉴;赵屹;徐敏;柳健;高郡伟;池源;,,八一电影制片厂;淮安市淮阴区人民政府;江苏华娱动力传媒科技有限公司;,杨虎;,,18.1,1,1
初到东京,,2014/1/20,秦昊;田原;张钧甯;池内博之;倍赏千惠子;中泉英雄;,华夏电影发行有限责任公司;,华夏电影发行有限责任公司;北京新表现影视文化传播有限公司;杭州同方联合影业集团有限公司;Wilco Japan Inc. ;,蒋钦民;,,61.460000,2,2
初恋未满,爱情/青春,2013/7/4,倪大红;宋晓英;王劲松;潘婕;张含韵;张政;代旭;李现;吴昱瑶;冉旭;王砚辉;,安乐（北京）电影发行有限公司;北京德俊文化发展有限公司;,北京德俊文化发展有限公司;东阳秋水堂影视有限公司;,刘娟;,,225.8,1,1
判我有罪,剧情/悬疑,2016/5/6,吴镇宇;李志正;王迪;李昕芸;田小洁;戴立忍;李至正;,深圳善为影业股份有限公司;M-Line Distribution ;,广州知星影视文化有限公司;星睿影视文化传媒（北京）有限公司;,孙亮;,董俊呈;,117,1,1
别开门,惊悚/悬疑/恐怖,2016/5/13,徐立;李鹤楠;曲少石;杨珑;刘金;刘著;赵洪纪;曹蕾;王昌;李昕芮;,北京金亿乾坤影视文化传媒有限公司;君艺尚（北京）文化传媒有限公司;,北京金亿乾坤影视文化传媒有限公司;君艺尚（北京）文化传媒有限公司;恒嘉天晟（北京）影业;上海锐色文化传播有限公司;北京东方每日文化传媒有限公司;北京星耀龙福（国际）文化传播有限公司;北京青山不老文化发展有限公司;出品公司有恒嘉天晟（北京）影业;,周阁;,,41.5,1,1
别惹我,动作/喜剧,2014/3/7,迪安娜·阿格隆;罗伯特·德尼罗;茂萨·马斯克里;乔·弗雷达;彼得·哈德森;内森·瑞佩;文森?克洛德;多米尼克·隆巴多兹;约翰·德里奥;米歇尔·菲佛;大卫·贝尔;里卡多·科德罗;汤米·李·琼斯;大卫·贝利;,,欧罗巴电影公司;上海基美影业股份有限公司;,吕克·贝松;,,5646.3,1,1
别有动机,动作/犯罪/悬疑,2015/9/17,刘威;秦岚;任达华;林家栋;高圣远;,华谊兄弟传媒股份有限公司;天津华谊兄弟卖座网电影发行有限公司;浙江强视传媒股份有限公司;,国家新闻出版广电总局电影卫星频道节目制作中心;浙江强视传媒股份有限公司;北京强视文化发展有限公司;,黄岳泰;,,1188.8,1,1
别跟我谈高富帅,喜剧/爱情,2013/5/24,王璐瑶;甘露;啜妮;午马;孙桂田;王聪;,北京今典影业有限公司;,叮咚长响（北京）文化传媒有限公司;北京华影金孔雀文化传媒有限公司;中视奥美（北京）文化传媒有限公司;,张一墨;藏溪川;,,1.7,1,1
到阜阳六百里,,2013/1/5,秦海璐;沈羿铨;李彬彬;唐群;,,,邓勇星;,,11.700000,2,2
制服,惊悚,2013/10/29,黄奕;吴樾;刘仪伟;陈思诚;高群书;颖儿;袁弘;李艾;任达华;徐若瑄;梁敏仪;欧弟;,上海电影股份有限公司影视发行分公司;北京橙天嘉禾影视制作有限公司;大地时代电影发行（北京）有限公司;浙江横店电影发行有限公司;万达影视传媒有限公司;,香港影王朝有限公司;北京橙天嘉禾影视制作有限公司;河南电影制片厂;大地时代电影发行（北京）有限公司;浙江横店电影发行有限公司;北京天生之道文化艺术有限公司;上海忧创影视文化有限公司;万达影视传媒有限公司;,王光利;,,1293.6,1,1
刺夜,动作/悬疑,2013/4/19,吴卫东;蒲巴甲;杜奕衡;王子子;何杜鹃;,华夏电影发行有限责任公司;大地时代电影发行（北京）有限公司;,国家新闻出版广电总局电影卫星频道节目制作中心;安徽电影集团（安徽电影制片厂）;安徽五星东方影视投资有限公司;,彭际航;任鹏远;,,72.8,1,1
刺客,动作/古装,2013/12/26,陈观泰;姜超;周依晨;梁家仁;午马;吴镇宇;陈勋奇;董志华;谢沅江;,,映代码（北京）文化传媒有限公司;北京文睿众合文化传媒有限公司;神画制作有限公司;,苗述;,,11,1,1
刺客聂隐娘,动作/武侠/古装,2015/8/27,倪大红;咏梅;周韵;毕安生;舒淇;张震;雷镇语;谢欣颖;阮经天;许芳宜;妻夫木聪;,华夏电影发行有限责任公司;北京博纳影视文化交流有限公司;华策影业（天津）有限公司;北京百度糯米信息技术有限公司;银都机构（广州）影视文化有限公司;,香港银都机构有限公司;香港寰亚电影有限公司;华策影业（天津）有限公司;中国梦电影文化产业有限公司;光点影业股份有限公司;,侯孝贤;,,6140.2,1,1
刺猬小子之天生我刺,动画/儿童/冒险,2016/7/22,,北京聚合影联文化传媒有限公司;,北京摩天轮文化传媒有限公司;北京每日视界先锋数码图像制作有限公司;北京每日视界影视动画股份有限公司;北京文化—摩天轮文化传媒;,黄健明;,丁晟;杜扬;,822.9,1,1
刻在石磨上的勋章,剧情,2016/6/29,姚阔;胡宗元;刘佩琦;钟萍;徐爽;,河南封门村文化传播有限公司;,,刘小宁;,,1.2,1,1
前任2：备胎反击战,爱情/喜剧,2015/11/6,王传君;张艺兴;郭采洁;郑恺;,华谊兄弟传媒股份有限公司;,华谊兄弟传媒股份有限公司;世纪百年影业（天津）有限公司;合一影业有限公司;新圣堂（天津）文化;,田羽生;,,25199.7,1,1
前任攻略,爱情/喜剧,2014/1/31,张涵予;王丽坤;柳岩;毛俊杰;熊乃瑾;韩庚;郑凯;姚星彤;班嘉佳;李相烨;黄梦莹;冷中易;郑恺;,华谊兄弟传媒股份有限公司;,华谊兄弟传媒股份有限公司;乐华娱乐;北京隽扉世纪文化传播有限公司;天津金润文华传媒有限公司;北京网秦天下科技有限公司;致远博翱影业（北京）有限公司;,田羽生;,,12967.9,1,1
剑河,动作/武侠,2014/10/24,陈之辉;陈超;周光菊;马洪虎;王靖绮;黄明英;冯延华;瑶东方;郑睿琳;梁小龙;李炳渊;崔煜林;王千友;吴娅琼;国文学;陈珠珠;陈市;高利虹;王飞鸿;曹帅;,贵州盛世华映传媒有限公司;北京盛世华映影视文化传播有限公司;,广州盛世华映文化传播有限公司;贵州盛世华映传媒有限公司;剑河县仰阿莎旅游投资开发有限责任公司;中共剑河县委;剑河县人民政府;贵州剑河县清水江畔房地产开发有限责任公司;贵州红遍天古典家具有限责任公司;重庆夏坤建设（集团）有限公司;贵州剑河园方林业投资开发有限公司;贵州凯里金泰房地产开发有限责任公司;黔东南州旅游局;,陶明喜;,,24.8,1,1
剩者为王,爱情/喜剧/都市,2015/11/6,潘虹;郝蕾;邢佳栋;熊黛林;王思思;舒淇;金士杰;彭于晏;张雯;荆浩;张晞临;,华夏电影发行有限责任公司;华策影业（天津）有限公司;北京微影时代科技有限公司;大众点评网;,上海电影（集团）有限公司;北京完美影视传媒股份有限公司;华策影业（天津）有限公司;上海聚力传媒技术有限公司;海宁聚光灯影业有限公司;华视网聚（常州）文化传媒有限公司;北京华美时空文化传播有限公司;凯擘香港有限公司;天津突燃文化传媒有限公司;,落落;,,6149.3,1,1
功夫,动作/喜剧/犯罪,2015/1/15,释行宇;元华;周星驰;梁小龙;陈国坤;林子聪;田启文;赵志凌;贾康熙;冯克安;董志华;黄圣依;,华谊兄弟传媒股份有限公司;北京聚合影联文化传媒有限公司;,哥伦比亚电影制作（亚洲）有限公司;华谊兄弟传媒股份有限公司;星辉海外有限公司;,周星驰;,,2559.5,1,1
功夫世家,动作/喜剧,2013/4/28,梁家仁;,,北京汗腾格里影视文化交流有限公司;,解福印;,,30.2,1,1
功夫侠,动作,2013/7/19,蒋梦婕;陈虎;袁祥仁;范妮莎·布兰奇;阿曼·达波;伊戈尔·达波;林申;,,北京景鸿影业投资有限公司;美国kfm制作有限公司;,宁瀛;袁祥仁;,,67.1,1,1
功夫小龙,动作/喜剧,2014/12/29,黄一飞;谢东;林威;谢晶;潘元甲;林曾毅;,,北京汉腾格里影视文化交流有限公司;,解福印;,,3.760000,2,1
功夫战斗机,动作,2013/11/15,柳海龙;黄习恒;石林;王琳娜;陈天星;林威;刘永奇;,蘭发行团队;,北京天星兄弟影视文化有限公司;四川泸州天星影视艺术专修学院;山西影视（集团）有限责任公司;山西电影制片厂(有限公司);,蒋国权;陈天星;,,131,1,1
