,,,,,2016/8/5,X特遣队,X特遣队,威尔·史密斯,Warner Bros. ,DC Entertainment ,大卫·阿耶;,Andy Horwitz 
动作,2777.4,2775.41,2015/3/12,一万年以后,2015/3/27,一万年以后,一万年以后,,北京国龙影业发行股份有限公司;,深圳一立动画影业有限公司,易立;,
爱情,0,,,,2015/12/15,一个人的恋情,一个人的恋情,,,海莱坞影视发展有限公司,李建林;,
动作/悬疑/警匪/功夫/爱情,11891.7,11770.79,2014/10/24,一个人的武林,2014/10/31,一个人的武林,一个人的武林,王宝强,华谊兄弟传媒股份有限公司,华谊兄弟传媒股份有限公司,陈德森;,
喜剧/冒险,1907.1,1875.14,2015/11/16,一个勺子,2015/11/20,一个勺子,一个勺子,王学兵,宁波枫海传媒科技股份有限公司;,北京儒意欣欣影业投资有限公司,陈建斌;,
爱情/家庭,92.4,92.28,2014/2/28,一个温州的女人,2014/3/7,一个温州的女人,一个温州的女人,马跃,蘭发行团队,北京银幕地带文化有限公司;,海达;,
战争/灾难/历史,37113.6,37068.49,2012/12/31,一九四二,2012/11/29,一九四二,一九四二,张国立,华谊兄弟传媒股份有限公司;,香港银都机构有限公司,冯小刚;,
动作/传记,28924.1,28783.86,2013/1/6,一代宗师,2013/1/8,一代宗师,一代宗师,徐锦江,华夏电影发行有限责任公司,香港银都机构有限公司,王家卫;,
动作/传记,6289.8,6289.85,2015/1/8,一代宗师3D,2015/1/8,一代宗师3D,一代宗师3D,徐锦江,华夏电影发行有限责任公司;,上海电影（集团）有限公司,王家卫;,
,,,,,,,一八九四·甲午大海战,陆毅,,国家新闻出版广电总局电影卫星频道节目制作中心,冯小宁;,
喜剧,2623.7,2623.06,2015/12/24,一切都好,2016/1/1,一切都好,一切都好,张国立,天津联瑞影业有限公司,安乐（北京）电影发行有限公司,张猛;,
爱情,11.7,8.41,2015/11/22,一刻十年,2015/11/24,一刻十年,一刻十年,于朦胧,春秋永乐影视文化投资（北京）有限公司,上海仁惠文化传播有限公司,戎川;,
动作/悬疑/剧情,205,204.91,2014/3/21,一号目标,2014/5/23,一号目标,一号目标,刘小锋,上海鼎石影视制作有限公司,江苏幸福蓝海影业有限责任公司,翟俊杰,
爱情/动作/警匪,2276.3,2275.03,2013/8/6,一场风花雪月的事,2013/8/8,一场风花雪月的事,一场风花雪月的事,黄晓明,上海银润传媒广告有限公司;,国家新闻出版广电总局电影卫星频道节目制作中心,高群书;,
爱情/喜剧,6.9,7.1,2016/3/26,一夜危机,2016/3/25,一夜危机,一夜危机,陈观泰,神画制作有限公司,北京夏云飞国际影视文化有限公司,苗述;,
爱情/喜剧,17250.5,17253.35,2013/7/31,一夜惊喜,2013/8/9,一夜惊喜,一夜惊喜,黎明,寰亚电影发行（北京）有限公司,香港寰亚电影有限公司,金依萌;,
,,144.9,2013/1/8,一夜成名,,,一夜成名,刘桦,龙腾艺都（北京）影业投资有限公司;,金润集团,石磊;,
,,,,,,,一夜未了情,李小冉,大地时代电影文化传播(北京)有限公司,亚太华影（北京）影业有限公司;,江澄;,
,,,,,,,一夜迷情,吉约姆·卡内,Monopole-Pathé ,高蒙公司;,,
喜剧,238.3,237.39,2016/1/19,一家老小向前冲,2016/1/22,一家老小向前冲,一家老小向前冲,柳岩,北京基点影视文化传媒有限公司;,世纪百年影业（天津）有限公司,李平;,
喜剧/青春,688,687.17,2013/9/16,一座城池,2013/9/18,一座城池,一座城池,谢芳,北京剧角映画文化传媒有限公司;,北京泰丰懿影视文化有限公司,孙渤涵;,
喜剧,8268.4,8276.36,2015/12/29,一念天堂,2015/12/31,一念天堂,一念天堂,马丽,珠江影业传媒股份有限公司;,北京天河盛宴国际文化传媒有限公司,张承;,
,,70.44,2016/9/15,一条叫王子的狗,2016/9/15,一条叫王子的狗,一条叫王子的狗,钟佳琪,华海光影北京国际影视文化传媒有限公司;,雪之梦（北京）影业有限公司,杨健武;,
剧情/爱情,3.8,4.4,2016/8/19,一棵心中的许愿树,2016/8/19,一棵心中的许愿树,一棵心中的许愿树,刘香萍,广东大地电影院线有限公司,香港沙龙电影有限公司,刘香萍;,刘香萍;
,,0.86,2014/12/17,一步之城,,,一步之城,惠英红,,北京玲珑青文化传播有限公司;,李思易;,
喜剧/歌舞/爱情,51494.6,51494.58,2014/12/16,一步之遥,2014/12/18,一步之遥,一步之遥,牛犇,北京不亦乐乎电影文化发展有限公司,上海电影（集团）有限公司,姜文;,
爱情,22852.5,22825.42,2014/8/25,一生一世,2014/9/5,一生一世,一生一世,高圆圆,大地时代电影文化传播(北京)有限公司,大地时代电影文化传播(北京)有限公司,邹佡;,
动作/惊悚,16064.6,16040.16,2014/1/16,一触即发,2014/1/17,一触即发,一触即发,保罗·布莱克威尔,华夏电影发行有限责任公司;,派拉蒙影业公司;,肯尼思·布拉纳;,
剧情/农村,0,,,,2015/10/1,一诺·千金,一诺·千金,倪虹洁,四川重向广告传媒有限公司;,北京橙润影视文化有限公司;,温钧凯;,
,,,,,,,一起飞,那威,华夏电影发行有限责任公司;,华夏电影发行有限责任公司,张蠡;,
爱情/喜剧,570.9,570.82,2015/8/2,一路向前,2015/8/6,一路向前,一路向前,陈赫,北京创世星国际影视文化有限公司,北京凯视芳华文化传播有限公司,侯亮;,
爱情,6972.1,6973.17,2015/2/2,一路惊喜,2015/2/6,一路惊喜,一路惊喜,巩汉林,万达影视传媒有限公司;,香港寰亚电影有限公司,金依萌,
,,,,,,,一路惊心,刘威,,北京雪鸿基文化传媒有限公司;,李伟;,
喜剧,588.1,586.26,2013/5/19,一路狂奔,2013/5/24,一路狂奔,一路狂奔,刘桦,华夏电影发行有限责任公司,北京果然影视文化有限公司,王钧;,
喜剧,1425,1424.02,2013/9/22,一路顺疯,2013/9/29,一路顺疯,一路顺疯,刘桦,新华展望传媒有限公司;,新华展望传媒有限公司,叶伟民;,
,,,,,,,丁丁历险记,丹尼尔·克雷格,United International Pictures (UIP) ,派拉蒙影业公司,史蒂文·斯皮尔伯格;,
,,,,,,,七个隆咚锵咚锵,刘亚津,,河北电影制片厂,韩兆;,
剧情/戏曲,0,,,,2015/7/31,七品知县进道观（豫剧）,七品知县进道观（豫剧）,,,北京九州同映数字电影院线有限公司;,,
剧情/农村,504.2,,,,2014/7/22,七彩田野,七彩田野,冷雪松;,,辽源关东盛京文化产业有限公司;,朱嘉欣;,
,,16162.86,2016/9/7,七月与安生,2016/9/14,七月与安生,七月与安生,周冬雨,华夏电影发行有限责任公司,阿里巴巴影业集团有限公司,曾国祥;,陈可辛
惊悚/恐怖,707.1,708.86,2016/8/17,七月半2：前世今生,2016/8/19,七月半2：前世今生,七月半2：前世今生,罗翔,北京基点影视文化传媒有限公司;,北京中影传奇影视文化传媒有限公司,李红建;,刘鸿;
惊悚/恐怖,1228.2,1226.23,2015/8/13,七月半之恐怖宿舍,2015/8/14,七月半之恐怖宿舍,七月半之恐怖宿舍,余心恬,北京基点影视文化传媒有限公司;,北京中影传奇影视文化传媒有限公司,杜潇傲,
喜剧/古装/冒险,32232.2,32232,2015/12/11,万万没想到,2015/12/18,万万没想到,万万没想到,佟丽娅,,合一影业有限公司,叫兽易小星;,
,,435.01,2013/11/19,万有引力,,,万有引力,郭涛,大地时代电影文化传播(北京)有限公司,大地时代电影文化传播(北京)有限公司,赵天宇;,
爱情/青春,14831.8,14826.65,2015/4/15,万物生长,2015/4/17,万物生长,万物生长,范冰冰,北京劳雷影业有限公司,合一影业有限公司,李玉;,
爱情,265,264.61,2013/4/1,万箭穿心,2012/11/16,万箭穿心,万箭穿心,颜丙燕,湖北银兴院线影业有限责任公司,北京电影学院青年电影制片厂,王竞;,
喜剧/剧情,3.2,11.41,2016/9/23,三个孬家伙,2016/9/23,三个孬家伙,三个孬家伙,刘桦,北京瑞博阳光文化传播有限公司;,河南弘星影视传媒有限公司,李春啸;,
,,474.77,2013/9/8,三个未婚妈妈,,,三个未婚妈妈,奚美娟,中影星美电影院线有限公司;,国家新闻出版广电总局电影卫星频道节目制作中心,江平;,
,,,,,,,三个火枪手,奥兰多·布鲁姆,GAGA Communications ,康斯坦丁影业公司,保罗·安德森;,
动作/惊悚/犯罪,10041.5,10038.68,2016/6/20,三人行,2016/6/24,三人行,三人行,赵薇,寰亚电影发行（北京）有限公司,香港寰亚电影有限公司,杜琪峰,游乃海
,,,,,2016/2/13,三伏天,三伏天,黄璐,,,乔丹·席勒;,彭浩翔;
,,25.14,2014/12/24,三十七,,,三十七,刘晓庆,星美(北京)影业有限公司;,星美(北京)影业有限公司,陈国新;,
