一场风花雪月的事,爱情/动作/警匪,2013/8/8,黄晓明,上海银润传媒广告有限公司;,国家新闻出版广电总局电影卫星频道节目制作中心,高群书;,,2276.3,1,1
一夜危机,爱情/喜剧,2016/3/25,陈观泰,神画制作有限公司,北京夏云飞国际影视文化有限公司,苗述;,,6.9,1,1
一夜惊喜,爱情/喜剧,2013/8/9,黎明,寰亚电影发行（北京）有限公司,香港寰亚电影有限公司,金依萌;,,17250.5,1,1
一夜成名,,2013/1/8,刘桦,龙腾艺都（北京）影业投资有限公司;,金润集团,石磊;,,144.9,2,2
一家老小向前冲,喜剧,2016/1/22,柳岩,北京基点影视文化传媒有限公司;,世纪百年影业（天津）有限公司,李平;,,238.3,1,1
一座城池,喜剧/青春,2013/9/18,谢芳,北京剧角映画文化传媒有限公司;,北京泰丰懿影视文化有限公司,孙渤涵;,,688,1,1
一念天堂,喜剧,2015/12/31,马丽,珠江影业传媒股份有限公司;,北京天河盛宴国际文化传媒有限公司,张承;,,8268.4,1,1
一条叫王子的狗,,2016/9/15,钟佳琪,华海光影北京国际影视文化传媒有限公司;,雪之梦（北京）影业有限公司,杨健武;,,70.44,2,1
一棵心中的许愿树,剧情/爱情,2016/8/19,刘香萍,广东大地电影院线有限公司,香港沙龙电影有限公司,刘香萍;,刘香萍;,3.8,1,1
一步之城,,2014/12/17,惠英红,,北京玲珑青文化传播有限公司;,李思易;,,0.86,2,2
一步之遥,喜剧/歌舞/爱情,2014/12/18,牛犇,北京不亦乐乎电影文化发展有限公司,上海电影（集团）有限公司,姜文;,,51494.6,1,1
一生一世,爱情,2014/9/5,高圆圆,大地时代电影文化传播(北京)有限公司,大地时代电影文化传播(北京)有限公司,邹佡;,,22852.5,1,1
一触即发,动作/惊悚,2014/1/17,保罗·布莱克威尔,华夏电影发行有限责任公司;,派拉蒙影业公司;,肯尼思·布拉纳;,,16064.6,1,1
一诺·千金,剧情/农村,2015/10/1,倪虹洁,四川重向广告传媒有限公司;,北京橙润影视文化有限公司;,温钧凯;,,0,1,1
一路向前,爱情/喜剧,2015/8/6,陈赫,北京创世星国际影视文化有限公司,北京凯视芳华文化传播有限公司,侯亮;,,570.9,1,1
一路惊喜,爱情,2015/2/6,巩汉林,万达影视传媒有限公司;,香港寰亚电影有限公司,金依萌,,6972.1,1,1
一路狂奔,喜剧,2013/5/24,刘桦,华夏电影发行有限责任公司,北京果然影视文化有限公司,王钧;,,588.1,1,1
一路顺疯,喜剧,2013/9/29,刘桦,新华展望传媒有限公司;,新华展望传媒有限公司,叶伟民;,,1425,1,1
七品知县进道观（豫剧）,剧情/戏曲,2015/7/31,,,北京九州同映数字电影院线有限公司;,,,0,1,1
七彩田野,剧情/农村,2014/7/22,冷雪松;,,辽源关东盛京文化产业有限公司;,朱嘉欣;,,504.2,1,1
七月与安生,,2016/9/14,周冬雨,华夏电影发行有限责任公司,阿里巴巴影业集团有限公司,曾国祥;,陈可辛,16162.86,2,1
七月半2：前世今生,惊悚/恐怖,2016/8/19,罗翔,北京基点影视文化传媒有限公司;,北京中影传奇影视文化传媒有限公司,李红建;,刘鸿;,707.1,1,1
七月半之恐怖宿舍,惊悚/恐怖,2015/8/14,余心恬,北京基点影视文化传媒有限公司;,北京中影传奇影视文化传媒有限公司,杜潇傲,,1228.2,1,1
万万没想到,喜剧/古装/冒险,2015/12/18,佟丽娅,,合一影业有限公司,叫兽易小星;,,32232.2,1,1
万有引力,,2013/11/19,郭涛,大地时代电影文化传播(北京)有限公司,大地时代电影文化传播(北京)有限公司,赵天宇;,,435.01,2,2
万物生长,爱情/青春,2015/4/17,范冰冰,北京劳雷影业有限公司,合一影业有限公司,李玉;,,14831.8,1,1
万箭穿心,爱情,2012/11/16,颜丙燕,湖北银兴院线影业有限责任公司,北京电影学院青年电影制片厂,王竞;,,265,1,1
三个孬家伙,喜剧/剧情,2016/9/23,刘桦,北京瑞博阳光文化传播有限公司;,河南弘星影视传媒有限公司,李春啸;,,3.2,1,1
三个未婚妈妈,,2013/9/8,奚美娟,中影星美电影院线有限公司;,国家新闻出版广电总局电影卫星频道节目制作中心,江平;,,474.77,2,2
三人行,动作/惊悚/犯罪,2016/6/24,赵薇,寰亚电影发行（北京）有限公司,香港寰亚电影有限公司,杜琪峰,游乃海,10041.5,1,1
三十七,,2014/12/24,刘晓庆,星美(北京)影业有限公司;,星美(北京)影业有限公司,陈国新;,,25.14,2,2
三只小猪与神灯,动画/励志/儿童/喜剧,2015/6/27,王燕华,华夏电影发行有限责任公司;,华夏电影发行有限责任公司,刘炜;,,2382.4,1,1
三城记,爱情,2015/8/27,秦海璐,华谊兄弟传媒股份有限公司;,安乐影片有限公司,张婉婷;,,1224.1,1,1
三小强,动画,2014/4/4,刘沛,深圳市环球数码影视文化有限公司;,广东环球数码动画制作有限公司,傅燕;,,232.4,1,1
三更车库,惊悚/恐怖,2015/4/3,方力申,福建恒业影业有限公司;,北京新影联影业有限责任公司,周耀武;,,791.9,1,1
三月情流感,爱情/喜剧,2013/3/1,于淼海,上海大万文化传播有限公司,上海大万文化传播有限公司,谢鸣晓;,,135.6,1,1
下一个奇迹,,2013/7/9,秦昊,上海电影股份有限公司影视发行分公司;,上海共创文化传播有限公司;,卓立;,,322.71,2,2
下一站再爱你,爱情,2014/8/22,杨梓嫣,北京锐奇伟业国际文化传媒有限公司;,北京锐奇伟业国际文化传媒有限公司,李德威;,,254.3,1,1
不二神探,喜剧/动作/悬疑,2013/6/21,李连杰,北京光线影业有限公司;,香港影业国际有限公司;,王子鸣;,,28400.7,1,1
不再让你孤单,,2014/3/20,刘烨,,香港寰亚电影有限公司,刘伟强;,,1984.15,2,2
不再说分手,爱情,2014/8/1,周秀娜,华夏电影发行有限责任公司,寰亚影视发行（香港）有限公司,郑丹瑞;,,1028.3,1,1
不可思异,喜剧/科幻,2015/12/4,王宝强,阿里巴巴影业集团有限公司,华夏电影发行有限责任公司,孙周;,,11178,1,1
不怕贼惦记,,2013/2/11,张馨予,北京紫禁城三联影视发行有限公司,北京影乐鑫海影视文化有限公司;,许传海;,,389.26,2,2
不惧风暴,动作/灾难/惊悚,2014/9/12,罗恩·考西,华夏电影发行有限责任公司;,威秀影业,史蒂文·奎里;,,11041.6,1,1
不是钱的事,剧情,2015/11/10,陈美行,,,田玉奎;,,4.1,1,1
不朽的时光,剧情/励志,2016/4/15,王紫逸,象山枫海传媒科技有限公司,长春美辰影业有限公司,闫然;,,72.8,1,1
不爱不散,爱情,2014/1/10,林雪,上海凯羿影视传播有限公司;,北京海润影业有限公司,周君,,77.1,1,1
不肯去观音,纪实/历史,2013/7/26,牛犇,,无锡广播电视集团,张鑫;,,178,1,1
不能说的夏天,爱情/青春,2014/10/24,戴立忍,,星美(北京)影业有限公司,王维明;,,1668.3,1,1
不能错过,爱情,2015/12/10,曾虹畅,北京国龙影业发行股份有限公司;,北京奇百奇文化传媒有限公司,杜奇泉,,14.3,1,1
不要迷恋姐,喜剧/爱情,2013/3/8,博林,华夏电影发行有限责任公司;,华夏电影发行有限责任公司,钟萱;,,11.6,1,1
不见不散,喜剧/爱情,2015/2/6,葛优,华谊兄弟传媒股份有限公司;,北京电影制片厂,冯小刚;,,8.2,1,1
不速之客,惊悚/悬疑/犯罪,2016/3/18,黎明,北京红色果实文化传播有限公司;,福建恒业影业有限公司,林大雄;,李亮文,392.3,1,1
与时尚同居,,2013/4/19,林雪,,星光国际传媒（集团）有限公司,尹丽川;,,556.52,2,2
与贼同屋,爱情/悬疑,2014/8/29,张瑶,北京今典影业有限公司;,北京中视汇影文化投资有限公司;,刘小春;,,48.4,1,1
丑小鸭历险记,动画,2016/7/2,小鱼,北京基点影视文化传媒有限公司;,广州塔秀动漫科技有限公司,郑义,郑义,432.2,1,1
丑男大翻身,爱情,2014/5/27,念贤儿,北京映画天下传媒文化有限公司;,北京盛世德合国际文化传播有限公司,王猛;,,5.2,1,1
