1,2,3,4,5,6,7,8,9,10,11,12,演员,发行,制作,导演,制作人,票房
0,0,0,0,0,0,0,0,0,0,0,1,305511.0934,0,503917.1324,32451.4,0,32232.2
0,0,0,0,0,0,0,0,0,0,1,0,386412.6687,25494.87875,32640.97,68887.06,0,435.01
0,0,0,1,0,0,0,0,0,0,0,0,275900.6307,464870.7751,420140.482,31764.61,0,14831.8
0,0,0,0,0,0,0,0,0,0,1,0,3946.610909,6777.563636,739758.2217,2537.69,0,265
0,0,0,0,0,0,0,0,1,0,0,0,180557.9965,23.51,69.6,3.2,0,3.2
0,0,0,0,0,0,0,0,1,0,0,0,194192.0917,519.27,783888.68,474.77,0,474.77
0,0,0,0,0,1,0,0,0,0,0,0,212978.1449,80136.53545,251273.2679,72712.36,10041.5,10041.5
0,0,0,0,0,0,0,0,0,0,0,1,103083.0843,493781.59,113786.3083,25.14,0,25.14
0,0,0,0,0,1,0,0,0,0,0,0,9462.193333,6902064.05,476597.3987,2382.4,0,2382.4
0,0,0,0,0,0,0,1,0,0,0,0,241091.9939,1112452.02,937888.1755,1224.1,0,1224.1
0,0,0,1,0,0,0,0,0,0,0,0,287.75,8474.3,3873.425,783.2,0,232.4
0,0,0,1,0,0,0,0,0,0,0,0,55929.53231,220997.52,106939.5908,1940.06,0,791.9
0,0,1,0,0,0,0,0,0,0,0,0,65477.81167,2098.290909,3971.41875,135.6,0,135.6
0,0,0,0,0,0,1,0,0,0,0,0,78626.99175,516777.85,322.71,322.71,0,322.71
0,0,0,0,0,0,0,1,0,0,0,0,335.7,254.3,259.755,265.21,0,254.3
0,0,0,0,0,1,0,0,0,0,0,0,191443.7575,1173671.65,47634.9,28400.7,0,28400.7
0,0,1,0,0,0,0,0,0,0,0,0,128035.1229,0,416062.4284,120951.15,0,1984.15
0,0,0,0,0,0,0,1,0,0,0,0,71137.06649,6747777.053,243361.5279,1028.3,0,1028.3
0,0,0,0,0,0,0,0,0,0,0,1,376872.5074,64722.86,323155.818,11178,0,11178
0,1,0,0,0,0,0,0,0,0,0,0,56192.22652,37265.32576,389.26,389.26,0,389.26
0,0,0,0,0,0,0,0,1,0,0,0,48897.3175,6902064.05,253587.525,11041.6,0,11041.6
0,0,0,0,0,0,0,0,0,0,1,0,1441.683333,0,0,4.1,0,4.1
0,0,0,1,0,0,0,0,0,0,0,0,37956.94733,385.0333333,2444.627273,74.9,0,72.8
1,0,0,0,0,0,0,0,0,0,0,0,111361.1841,17994.97,59683.74267,692.0866667,0,77.1
0,0,0,0,0,0,1,0,0,0,0,0,60208.00879,0,178,304.5,0,178
0,0,0,0,0,0,0,0,0,1,0,0,151531.4538,0,86448.17758,1668.3,0,1668.3
0,0,0,0,0,0,0,0,0,0,0,1,822.9666667,2848.4,14.3,14.3,0,14.3
0,0,1,0,0,0,0,0,0,0,0,0,11.6,6902064.05,481268.2221,11.6,0,11.6
0,1,0,0,0,0,0,0,0,0,0,0,97699.03067,1112452.02,176715.7629,108510.7,0,8.2
0,0,1,0,0,0,0,0,0,0,0,0,30932.6087,392.3,122224.4916,392.3,9289.293043,392.3
0,0,0,1,0,0,0,0,0,0,0,0,135594.4435,0,23888.50286,556.52,0,556.52
0,0,0,0,0,0,0,1,0,0,0,0,71427.057,4296.97,48.4,48.4,0,48.4
0,0,0,0,0,0,1,0,0,0,0,0,432.2,19837.7,432.2,432.2,432.2,432.2
0,0,0,0,1,0,0,0,0,0,0,0,1938.6925,132.4,104.5,5.2,0,5.2
0,0,0,0,1,0,0,0,0,0,0,0,627.7,0,425.2,425.2,0,425.2
1,0,0,0,0,0,0,0,0,0,0,0,7652.685455,5763129.352,1516.26,0,0,1516.26
0,0,0,0,0,0,0,0,0,0,0,1,401.4061538,541302.5818,660354.1379,91.4,0,91.4
0,0,0,0,0,1,0,0,0,0,0,0,31073.81692,6902064.05,49.3,49.3,0,49.3
0,0,0,0,0,0,0,0,0,0,1,0,0.1,0,783776.8469,848.5,0,0.1
0,0,0,0,0,0,0,0,1,0,0,0,25185.86074,10.5,10.5,10.5,0,10.5
0,0,0,0,0,0,0,0,1,0,0,0,594.965,61.29,361.7566667,74.01,0,61.29
0,0,0,0,0,0,1,0,0,0,0,0,173.48,0,8.05,8.05,0,8.05
0,0,0,0,1,0,0,0,0,0,0,0,451254.211,869613.8242,458197.7353,106619.31,0,53880.3
0,0,0,0,0,0,0,0,0,0,0,1,17843.63462,1173671.65,20091.47143,301.6,0,301.6
0,0,0,0,0,0,0,1,0,0,0,0,389652.7876,590473.9188,619377.5503,10116.7,0,10108.4
0,0,0,1,0,0,0,0,0,0,0,0,6223.535238,68.6,68.6,68.6,68.6,68.6
0,0,0,0,0,1,0,0,0,0,0,0,1116.48,764.5,104.68,0.1,0,0.1
0,0,0,0,1,0,0,0,0,0,0,0,130693.9539,12054.09,15473.1,781.9,0,781.9
0,0,0,0,0,0,1,0,0,0,0,0,0,0,2609.69,3013.83,0,400.2
0,0,0,0,0,0,0,0,1,0,0,0,141684.6924,4839.461111,46.27,46.27,0,46.27
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,32982.085,13821.08,44654.108,1577.53,0,272.13
0,0,0,0,0,1,0,0,0,0,0,0,0,7.4,74.2,7.4,0,7.4
0,0,0,1,0,0,0,0,0,0,0,0,133196.8978,1173671.65,26967.18286,12125.76,0,506.86
0,0,0,0,0,0,1,0,0,0,0,0,5.8,0,5.8,5.8,0,5.8
0,0,0,0,0,0,0,0,1,0,0,0,99414.67875,6902064.05,4797.8,1259.2,0,1259.2
0,0,0,0,0,0,0,0,1,0,0,0,210991.2527,760863.7129,597191.9469,82421.87,0,68280.2
0,0,0,0,0,0,0,0,1,0,0,0,54498.85,56769.15375,31228.10833,55499.25,5339.977273,5197.45
0,1,0,0,0,0,0,0,0,0,0,0,0,3.4,37.705,0,0,3.4
0,0,0,0,0,1,0,0,0,0,0,0,494.305,0,31.3,49.6,0,31.3
0,0,0,0,0,0,0,0,0,0,0,1,962.7,0,1839.842857,1.1,0,1.1
0,0,0,0,0,0,0,1,0,0,0,0,55590.85926,6902064.05,0,8506.3,0,8506.3
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,309246.9982,24507.21,88488.01125,31764.61,0,10738.7
0,0,0,0,0,0,0,1,0,0,0,0,20.06,0,20.06,20.06,0,20.06
1,0,0,0,0,0,0,0,0,0,0,0,101674.3856,5637458.02,61720.39538,9079.3,0,9079.3
1,0,0,0,0,0,0,0,0,0,0,0,143403.8748,6849170.798,17019.8,31238.35,0,17019.8
0,0,0,0,0,1,0,0,0,0,0,0,306.53,0,685.97,172.35,0,172.35
0,0,0,0,0,1,0,0,0,0,0,0,129127.1625,103448.4573,2636.296667,1867.496667,0,1557.83
1,0,0,0,0,0,0,0,0,0,0,0,91250.5375,6902064.05,17409.2,880,0,880
0,0,0,0,0,0,1,0,0,0,0,0,117059.7725,379103.0798,181674.869,56575.34,0,41216.1
0,0,0,0,1,0,0,0,0,0,0,0,125025.7757,6831473.4,5967.702,6880.5,0,60.5
0,0,0,0,0,0,0,0,1,0,0,0,327603.2206,379153.5788,735957.3083,106619.31,0,34468.8
0,0,0,0,0,0,1,0,0,0,0,0,760.2333333,21189.70417,336.1,226.1,0,226.1
0,0,0,0,0,0,0,0,0,0,0,1,512293.2536,6329224.81,1184769.781,288135.6,0,126800.1
0,0,0,0,0,0,1,0,0,0,0,0,7170.252,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,23.28,0,7.05,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,120315.1367,0,118.73,118.73,0,118.73
0,1,0,0,0,0,0,0,0,0,0,0,97235.64792,6126069.686,0,3839.61,0,3839.61
0,0,0,0,0,0,0,1,0,0,0,0,388.7,0,25.9,0,0,25.9
0,0,0,0,0,0,0,0,1,0,0,0,109642.372,7148.3,35513,405.9,0,405.9
0,0,0,0,1,0,0,0,0,0,0,0,327607.9131,1112452.02,706822.7365,31527.12,0,1430.8
0,0,0,1,0,0,0,0,0,0,0,0,181566.9062,6902064.05,11041.71667,454.2,0,433.5
0,0,0,0,0,0,1,0,0,0,0,0,0,0,74.2,34.4,0,34.4
0,0,0,0,0,0,0,0,1,0,0,0,507757.0492,1020586.806,1016644.214,80645.26,14043.06,14043.06
0,0,0,0,0,0,0,0,1,0,0,0,17.52727273,0,404.8666667,12.8,0,12.8
0,0,0,0,0,0,0,0,0,0,0,1,131668.5874,1079225.983,504851.9366,5653.3,0,5653.3
0,0,0,0,0,0,0,1,0,0,0,0,6008.92,6008.92,6008.92,6008.92,6008.92,6008.92
1,0,0,0,0,0,0,0,0,0,0,0,6400.497273,45.9,0,6.3,0,6.3
0,0,0,0,0,0,1,0,0,0,0,0,0,17.9,0,17.9,0,17.9
0,0,0,1,0,0,0,0,0,0,0,0,54395.62927,6024090.199,55361.46364,2066,4038.228571,2066
0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.8,0,0,3.8
0,0,0,0,0,0,0,1,0,0,0,0,92.98571429,0.9,0.9,0.9,0,0.9
0,0,0,1,0,0,0,0,0,0,0,0,402595.3786,467854.1323,659304.7883,35351.1,0,35351.1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,515.2,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,101.3666667,6902064.05,8.8,8.8,0,8.8
0,1,0,0,0,0,0,0,0,0,0,0,32716.45761,493781.59,134931.993,63.6,0,63.6
0,0,0,0,0,0,0,0,1,0,0,0,286783.8431,6596216.919,1826.57,398.2,0,398.2
0,0,0,0,0,0,0,1,0,0,0,0,254307.6532,6384809.173,306437.9313,60463.31,61976.01,60463.31
0,0,0,0,0,1,0,0,0,0,0,0,218406.2654,6374648.657,644981.5622,142065.9,0,142065.9
0,0,0,0,0,0,0,1,0,0,0,0,270720.5805,556791.6236,681917.8341,34947.2,0,34947.2
0,1,0,0,0,0,0,0,0,0,0,0,83924.15864,6682511.751,869945.88,96675,0,9711.4
0,0,1,0,0,0,0,0,0,0,0,0,166.534,6663882.1,0,0,0,107.62
0,0,0,0,1,0,0,0,0,0,0,0,129.4142857,6902064.05,988.6,2.7,0,2.7
0,0,1,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0,0.1
0,0,0,0,0,0,0,0,0,0,1,0,43.3,0,0,26.1,0,26.1
0,0,0,0,0,0,0,0,0,0,1,0,6310.39,269,242.0666667,2481.8,0,188.2
0,0,0,0,1,0,0,0,0,0,0,0,51652.97684,6902064.05,197678.5665,66,0,66
1,0,0,0,0,0,0,0,0,0,0,0,129092.6896,131079.5849,120015.6134,46186.17,0,4365.37
1,0,0,0,0,0,0,0,0,0,0,0,338691.9164,28245.7248,179943.1882,3306.55,0,3131.15
0,0,0,0,0,0,1,0,0,0,0,0,63728.48391,4750.413929,9.2,316.9,9.2,9.2
0,0,0,0,0,0,0,0,0,0,0,1,279.25,0,23.42857143,4.9,0,0
0,0,0,1,0,0,0,0,0,0,0,0,225281.5589,5810608.09,1161846.63,74989.032,0,27387
0,0,1,0,0,0,0,0,0,0,0,0,82272.11026,220997.52,6315.6125,8300.46,0,361.07
0,0,0,0,0,0,0,0,1,0,0,0,76340.4741,786562.8345,380088.3469,10096.5,0,10096.5
0,1,0,0,0,0,0,0,0,0,0,0,97006.5185,532347.91,120.42,120.42,0,120.42
0,0,0,0,0,0,0,0,0,0,1,0,3585.915,6499329.507,217.5,70.3,0,70.3
0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0.5
0,0,0,0,0,1,0,0,0,0,0,0,213233.1568,0,1284064.748,376.6,0,376.6
0,1,0,0,0,0,0,0,0,0,0,0,125890.8171,11667.225,75653.76574,4985.29,0,2973
0,1,0,0,0,0,0,0,0,0,0,0,253308.6586,0,683318.3539,4985.29,0,1565.29
0,0,0,0,0,0,0,0,0,1,0,0,3227.915833,13849.96,378.45,265.4,0,265.4
0,0,0,0,0,0,1,0,0,0,0,0,12145.10625,1610598.075,73.8,73.8,0,73.8
0,0,0,0,0,0,0,0,0,0,0,1,91762.67545,6902064.05,78.7,132524.4,0,78.7
0,0,0,0,0,0,0,0,0,0,1,0,135076.2878,391654.8,58719.05714,3507.7,0,3507.7
0,1,0,0,0,0,0,0,0,0,0,0,60972.71979,6884276.081,669979.7873,52822.4,0,332.1
0,0,0,0,0,0,0,0,1,0,0,0,189695.0428,28028.7875,169263.2441,18118.5,0,18118.5
0,0,0,0,1,0,0,0,0,0,0,0,263441.9875,1112452.02,1096821.068,30792.045,0,5824.77
0,0,1,0,0,0,0,0,0,0,0,0,111.6315789,2723.9,496.475,83,0,83
1,0,0,0,0,0,0,0,0,0,0,0,182853.6625,729867.73,489203.6247,72150.225,0,8614.07
0,0,0,0,0,0,0,0,0,1,0,0,38758.96079,17994.97,106667.0243,161.7,0,161.7
0,0,0,1,0,0,0,0,0,0,0,0,28079.64172,6902064.05,504183.8914,1226.6,0,9.9
0,0,0,0,0,0,1,0,0,0,0,0,57929.12261,362109.5047,26410.82636,654.4,654.4,654.4
1,0,0,0,0,0,0,0,0,0,0,0,259749.5612,729867.73,595925.7848,21736.19,0,8090.9
0,0,1,0,0,0,0,0,0,0,0,0,236.5,1113.033333,236.5,236.5,0,236.5
0,0,0,0,0,0,0,0,0,1,0,0,127303.7138,365826.7026,332999.1527,88318.48,0,13382.28
0,0,0,0,0,1,0,0,0,0,0,0,88916.17793,6373208.254,61303.47333,2027.1,0,2027.1
0,0,0,1,0,0,0,0,0,0,0,0,1236.215,0,282.04,106.9,0,76.3
0,0,0,0,0,0,1,0,0,0,0,0,133.09875,36.4,187486.2929,39.5,0,30.1
0,0,0,0,0,0,0,1,0,0,0,0,214.6,493781.59,122659.9936,1.8,0,1.8
0,0,0,0,0,1,0,0,0,0,0,0,30878.35805,1279.6,964.625,0,0,535.2
0,0,0,0,1,0,0,0,0,0,0,0,166042.4583,316821.5,2165.1,1680.7,1147.9,1147.9
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6.6,0,0
0,0,0,0,1,0,0,0,0,0,0,0,103170.4255,33.1,105007.008,33.1,0,3.1
0,0,0,0,0,1,0,0,0,0,0,0,103170.4255,33.1,105007.008,33.1,0,30
0,0,0,1,0,0,0,0,0,0,0,0,206227.0758,698085.4842,678774.0774,15540.2,0,14269.6
0,0,0,0,0,0,0,0,0,1,0,0,158187.7407,251777.2033,183033.33,48377.8,0,44709.7
0,0,0,0,0,0,0,1,0,0,0,0,169554.9088,1092647.514,154817.9038,87015.67,78523.418,44554.41
0,0,0,0,0,0,0,1,0,0,0,0,160418.7533,243475.9812,162168.8033,87015.67,78104.788,42461.26
0,0,0,0,0,0,0,0,0,1,0,0,132616.8169,0,162168.8033,42643.76,0,4416.4
0,0,0,1,0,0,0,0,0,0,0,0,258024.8289,6534101.314,155548.9156,4320,65519.75,4320
